Tamanho da Janela:20
[R, M, M, H, H, H, M] 17/10/2000 - 13/11/2000 7.0710678118654755 BearFlag
[R, M, H, H, M, M, M] 20/7/2004 - 16/8/2004 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 20/12/2005 - 19/1/2006 8.660254037844387 BearFlag
[R, H, H, H, M, M, H] 3/11/2006 - 1/12/2006 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 4/1/2007 - 1/2/2007 8.660254037844387 BearFlag
[R, M, H, M, M, M, H] 23/8/2007 - 20/9/2007 8.660254037844387 BearFlag
[R, R, H, M, R, H, H] 6/8/2008 - 3/9/2008 7.0710678118654755 DoubleBottom
[W, W, M, C, C, C, R] 10/12/2009 - 8/1/2010 8.660254037844387 Cup
[M, M, H, H, M, H, M] 30/3/2012 - 27/4/2012 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 19/11/2012 - 17/12/2012 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 30/1/2014 - 27/2/2014 8.660254037844387 BearFlag
