Tamanho da Janela:20
[R, M, H, M, R, H, C] 14/11/2000 - 12/12/2000 7.0710678118654755 DoubleBottom
[W, W, H, H, R, H, H] 13/12/2000 - 11/1/2001 8.660254037844387 DoubleBottom
[R, R, M, H, H, H, M] 6/7/2001 - 2/8/2001 8.660254037844387 Cup
[R, R, M, C, C, C, M] 14/1/2003 - 11/2/2003 7.0710678118654755 Cup
[R, M, M, H, H, H, M] 17/8/2004 - 14/9/2004 7.0710678118654755 BearFlag
[M, M, H, C, H, H, M] 13/10/2004 - 9/11/2004 8.660254037844387 BearFlag
[R, H, H, C, H, H, M] 6/4/2005 - 3/5/2005 8.660254037844387 BearFlag
[R, M, H, C, H, C, H] 26/2/2009 - 25/3/2009 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 11/11/2009 - 9/12/2009 8.660254037844387 BearFlag
[M, M, H, H, H, M, M] 10/3/2010 - 7/4/2010 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 9/9/2011 - 6/10/2011 8.660254037844387 BullFlag
[R, R, M, H, H, H, M] 30/3/2012 - 27/4/2012 8.660254037844387 Cup
[M, H, H, H, M, H, H] 16/4/2013 - 13/5/2013 8.660254037844387 BearFlag
[M, M, H, C, H, H, M] 4/10/2013 - 31/10/2013 8.660254037844387 BearFlag
[M, M, H, H, H, H, M] 30/1/2014 - 27/2/2014 7.0710678118654755 BearFlag
