Tamanho da Janela:20
[R, R, M, C, H, H, R] 10/5/2002 - 7/6/2002 5.0 Cup
[R, R, M, H, H, M, R] 9/7/2002 - 5/8/2002 8.660254037844387 Cup
[R, R, H, C, C, C, M] 28/1/2003 - 25/2/2003 8.660254037844387 Cup
[M, R, R, H, C, H, R] 24/4/2003 - 21/5/2003 8.660254037844387 Cup
[R, R, H, M, R, M, H] 14/10/2003 - 10/11/2003 8.660254037844387 DoubleBottom
[M, M, M, H, H, H, M] 2/8/2004 - 27/8/2004 8.660254037844387 BearFlag
[M, M, H, H, M, M, H] 18/2/2005 - 18/3/2005 8.660254037844387 BearFlag
[R, M, M, H, H, H, M] 15/6/2005 - 13/7/2005 7.0710678118654755 BearFlag
[R, H, H, H, M, M, H] 11/8/2005 - 8/9/2005 8.660254037844387 BearFlag
[R, M, H, C, H, H, M] 3/3/2006 - 30/3/2006 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 23/8/2006 - 20/9/2006 8.660254037844387 BearFlag
[R, M, M, H, H, H, M] 21/9/2006 - 18/10/2006 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 15/12/2006 - 17/1/2007 8.660254037844387 BearFlag
[R, M, H, M, R, H, C] 28/2/2008 - 27/3/2008 7.0710678118654755 DoubleBottom
[R, R, M, H, H, H, M] 23/6/2008 - 21/7/2008 8.660254037844387 Cup
[R, M, H, H, H, M, M] 22/7/2008 - 18/8/2008 7.0710678118654755 BearFlag
[M, M, H, H, H, H, M] 31/8/2009 - 28/9/2009 7.0710678118654755 BearFlag
[R, M, M, H, H, H, H] 23/2/2010 - 22/3/2010 5.0 BearFlag
[M, M, M, H, H, H, H] 23/3/2010 - 20/4/2010 7.0710678118654755 BearFlag
[M, M, H, H, M, H, H] 4/3/2011 - 31/3/2011 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 1/4/2011 - 29/4/2011 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 2/5/2011 - 27/5/2011 8.660254037844387 BearFlag
[R, R, R, R, M, H, H] 27/7/2011 - 23/8/2011 7.0710678118654755 BullFlag
[M, H, H, H, M, H, H] 1/3/2013 - 28/3/2013 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 1/4/2013 - 26/4/2013 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 9/6/2014 - 7/7/2014 8.660254037844387 BearFlag
[R, M, H, H, M, M, M] 1/10/2014 - 28/10/2014 8.660254037844387 BearFlag
