Tamanho da Janela:20
[R, R, M, H, H, H, M] 1/3/2000 - 28/3/2000 8.660254037844387 Cup
[M, M, H, H, M, H, H] 14/11/2000 - 12/12/2000 7.0710678118654755 BearFlag
[R, M, M, M, M, H, H] 13/3/2001 - 9/4/2001 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 31/1/2002 - 28/2/2002 8.660254037844387 BearFlag
[M, M, H, M, M, H, H] 13/10/2004 - 9/11/2004 8.660254037844387 BearFlag
[R, R, H, H, R, H, H] 2/10/2008 - 29/10/2008 8.660254037844387 DoubleBottom
[R, M, H, H, M, M, H] 26/2/2009 - 25/3/2009 7.0710678118654755 BearFlag
[R, M, M, H, H, H, M] 26/3/2009 - 23/4/2009 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 23/11/2010 - 21/12/2010 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 15/6/2011 - 13/7/2011 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 11/8/2011 - 8/9/2011 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 9/9/2011 - 6/10/2011 8.660254037844387 BullFlag
[M, M, M, H, H, H, M] 5/12/2011 - 3/1/2012 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 15/2/2013 - 15/3/2013 8.660254037844387 BearFlag
[R, M, M, H, H, H, M] 30/1/2014 - 27/2/2014 7.0710678118654755 BearFlag
