Tamanho da Janela:20
[R, R, M, H, H, M, R] 1/3/2000 - 28/3/2000 8.660254037844387 Cup
[M, M, M, H, H, H, M] 9/6/2003 - 7/7/2003 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 26/11/2003 - 24/12/2003 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 27/1/2004 - 24/2/2004 8.660254037844387 BearFlag
[R, R, M, H, C, C, M] 26/2/2009 - 25/3/2009 8.660254037844387 Cup
[M, M, M, H, H, H, M] 9/2/2010 - 9/3/2010 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 26/10/2010 - 22/11/2010 8.660254037844387 BearFlag
[R, H, H, H, H, H, M] 21/1/2011 - 17/2/2011 7.0710678118654755 BearFlag
[R, M, H, H, M, H, M] 15/2/2013 - 15/3/2013 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 18/3/2013 - 15/4/2013 8.660254037844387 BearFlag
[M, M, H, H, H, M, M] 16/4/2013 - 13/5/2013 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 30/1/2014 - 27/2/2014 8.660254037844387 BearFlag
