Tamanho da Janela:20
[R, R, M, H, H, H, M] 5/4/2001 - 3/5/2001 8.660254037844387 Cup
[M, M, M, H, H, H, M] 28/1/2002 - 25/2/2002 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 7/4/2003 - 5/5/2003 8.660254037844387 BearFlag
[R, M, H, H, M, M, M] 31/7/2003 - 27/8/2003 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 10/9/2004 - 7/10/2004 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 5/11/2004 - 3/12/2004 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 6/12/2004 - 3/1/2005 8.660254037844387 BearFlag
[R, R, M, H, H, M, R] 27/5/2005 - 24/6/2005 8.660254037844387 Cup
[M, M, H, H, H, H, M] 14/2/2006 - 14/3/2006 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 12/4/2006 - 10/5/2006 8.660254037844387 BearFlag
[R, R, M, H, H, H, R] 11/5/2006 - 8/6/2006 7.0710678118654755 Cup
[R, R, M, H, H, H, M] 5/9/2006 - 2/10/2006 8.660254037844387 Cup
[M, M, M, H, H, H, M] 29/11/2006 - 27/12/2006 8.660254037844387 BearFlag
[R, M, M, H, H, M, M] 28/2/2007 - 27/3/2007 8.660254037844387 BearFlag
[M, M, R, C, C, H, R] 23/7/2007 - 17/8/2007 8.660254037844387 Cup
[R, H, H, H, M, H, H] 13/8/2009 - 10/9/2009 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 18/1/2011 - 14/2/2011 8.660254037844387 BearFlag
[R, M, H, M, M, M, H] 11/4/2013 - 8/5/2013 8.660254037844387 BearFlag
[M, M, H, H, H, H, M] 27/1/2014 - 24/2/2014 7.0710678118654755 BearFlag
