Tamanho da Janela:20
[R, M, H, H, M, H, H] 3/1/2000 - 31/1/2000 5.0 BearFlag
[R, R, M, H, H, H, M] 19/9/2000 - 16/10/2000 8.660254037844387 Cup
[M, M, M, H, H, H, M] 10/4/2001 - 8/5/2001 8.660254037844387 BearFlag
[M, H, H, H, H, H, M] 1/4/2002 - 26/4/2002 8.660254037844387 BearFlag
[R, R, M, H, H, M, R] 28/11/2008 - 26/12/2008 8.660254037844387 Cup
[M, H, H, H, M, H, H] 23/11/2010 - 21/12/2010 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 4/11/2011 - 2/12/2011 8.660254037844387 BullFlag
[M, M, M, H, H, H, M] 2/3/2012 - 29/3/2012 8.660254037844387 BearFlag
[R, R, M, H, H, M, R] 29/5/2012 - 25/6/2012 8.660254037844387 Cup
[M, H, H, H, M, H, H] 22/8/2012 - 19/9/2012 8.660254037844387 BearFlag
[M, M, M, H, H, H, H] 12/6/2013 - 10/7/2013 7.0710678118654755 BearFlag
