Tamanho da Janela:20
[M, R, R, R, R, M, H] 25/5/2000 - 22/6/2000 8.660254037844387 BullFlag
[R, M, H, C, H, H, R] 24/7/2000 - 18/8/2000 8.660254037844387 Cup
[M, H, H, C, H, H, H] 17/10/2000 - 13/11/2000 8.660254037844387 BearFlag
[M, M, H, H, H, H, M] 9/5/2001 - 6/6/2001 7.0710678118654755 BearFlag
[R, M, H, M, R, H, H] 19/9/2002 - 16/10/2002 8.660254037844387 DoubleBottom
[R, M, M, H, H, H, H] 5/8/2003 - 2/9/2003 5.0 BearFlag
[R, M, H, C, H, H, M] 13/10/2004 - 9/11/2004 7.0710678118654755 BearFlag
[M, H, H, H, H, H, M] 10/11/2004 - 8/12/2004 8.660254037844387 BearFlag
[R, M, H, M, M, M, H] 24/10/2005 - 18/11/2005 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 17/2/2006 - 17/3/2006 8.660254037844387 BullFlag
[R, M, H, M, M, M, H] 4/1/2007 - 1/2/2007 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 27/6/2007 - 25/7/2007 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 17/12/2007 - 15/1/2008 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 9/7/2008 - 5/8/2008 8.660254037844387 BearFlag
[M, M, H, M, M, H, H] 14/10/2009 - 10/11/2009 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 28/9/2010 - 25/10/2010 8.660254037844387 BearFlag
[M, R, R, R, R, M, H] 14/7/2011 - 10/8/2011 8.660254037844387 BullFlag
[R, M, H, H, M, M, M] 11/8/2011 - 8/9/2011 8.660254037844387 BearFlag
[R, R, M, H, H, H, M] 16/4/2013 - 13/5/2013 8.660254037844387 Cup
[M, M, H, H, H, H, M] 30/1/2014 - 27/2/2014 7.0710678118654755 BearFlag
