Tamanho da Janela:20
[R, M, H, C, H, H, R] 9/6/2006 - 7/7/2006 8.660254037844387 Cup
[M, H, H, H, M, H, H] 26/4/2007 - 23/5/2007 8.660254037844387 BearFlag
[R, R, M, H, H, H, R] 22/6/2007 - 20/7/2007 7.0710678118654755 Cup
[R, M, H, C, H, H, M] 11/3/2008 - 8/4/2008 7.0710678118654755 BearFlag
[R, R, H, C, H, H, M] 3/7/2008 - 31/7/2008 8.660254037844387 Cup
[M, R, R, H, C, H, R] 23/3/2009 - 20/4/2009 8.660254037844387 Cup
[M, M, M, H, H, H, M] 5/4/2010 - 30/4/2010 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 25/8/2010 - 22/9/2010 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 23/9/2010 - 20/10/2010 8.660254037844387 BearFlag
[M, M, H, M, M, H, H] 18/1/2011 - 14/2/2011 8.660254037844387 BearFlag
[M, M, H, H, M, H, H] 23/5/2012 - 20/6/2012 7.0710678118654755 BearFlag
[M, M, M, H, M, H, H] 14/1/2013 - 11/2/2013 8.660254037844387 BearFlag
[M, M, H, H, H, H, M] 11/4/2013 - 8/5/2013 7.0710678118654755 BearFlag
