Tamanho da Janela:20
[M, R, R, R, M, H, H] 24/7/2000 - 18/8/2000 8.660254037844387 BullFlag
[R, R, M, H, H, H, M] 7/6/2001 - 5/7/2001 8.660254037844387 Cup
[R, R, M, H, H, M, R] 1/4/2002 - 26/4/2002 8.660254037844387 Cup
[M, M, H, H, M, H, H] 5/8/2003 - 2/9/2003 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 13/10/2004 - 9/11/2004 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 24/10/2005 - 18/11/2005 8.660254037844387 BearFlag
[M, M, H, H, H, M, M] 30/5/2007 - 26/6/2007 8.660254037844387 BearFlag
[R, R, M, R, R, M, H] 4/9/2008 - 1/10/2008 8.660254037844387 BullFlag
[R, R, M, R, R, M, H] 30/10/2008 - 26/11/2008 8.660254037844387 BullFlag
[R, R, M, C, C, H, R] 28/11/2008 - 26/12/2008 0.0 Cup
[R, M, H, H, M, M, M] 10/12/2009 - 8/1/2010 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 15/2/2013 - 15/3/2013 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 24/6/2014 - 22/7/2014 8.660254037844387 BearFlag
