Tamanho da Janela:20
[R, W, R, R, M, C, C] 27/4/2000 - 24/5/2000 8.660254037844387 BullFlag
[R, H, H, C, M, H, H] 24/7/2000 - 18/8/2000 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 2/11/2001 - 30/11/2001 8.660254037844387 BullFlag
[R, R, H, H, H, M, M] 31/1/2002 - 28/2/2002 8.660254037844387 BearFlag
[R, M, M, H, H, M, M] 1/4/2002 - 26/4/2002 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 24/7/2002 - 20/8/2002 8.660254037844387 BullFlag
[R, M, M, H, H, M, M] 21/8/2002 - 18/9/2002 8.660254037844387 BearFlag
[M, M, H, H, M, H, H] 7/2/2005 - 7/3/2005 7.0710678118654755 BearFlag
[M, M, H, H, M, H, H] 24/10/2005 - 18/11/2005 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 1/5/2007 - 29/5/2007 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 12/5/2008 - 9/6/2008 8.660254037844387 BearFlag
[R, M, H, H, M, M, M] 28/11/2008 - 26/12/2008 8.660254037844387 BearFlag
[R, M, H, M, M, H, H] 24/4/2009 - 21/5/2009 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 12/6/2013 - 10/7/2013 8.660254037844387 BearFlag
