Tamanho da Janela:40
[M, M, H, H, H, H, M] 7/2/2005 - 5/4/2005 7.0710678118654755 BearFlag
[M, M, M, H, H, H, H] 26/9/2005 - 18/11/2005 7.0710678118654755 BearFlag
[M, H, H, H, M, H, H] 23/8/2007 - 18/10/2007 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 10/6/2008 - 5/8/2008 8.660254037844387 BullFlag
[R, M, H, M, R, H, C] 28/1/2009 - 25/3/2009 7.0710678118654755 DoubleBottom
[M, R, R, R, M, H, H] 26/3/2009 - 21/5/2009 8.660254037844387 BullFlag
[R, M, M, H, H, H, M] 11/1/2010 - 9/3/2010 7.0710678118654755 BearFlag
[M, R, R, R, M, H, H] 26/10/2010 - 21/12/2010 8.660254037844387 BullFlag
[M, R, R, R, M, H, H] 22/12/2010 - 17/2/2011 8.660254037844387 BullFlag
[R, M, H, H, M, M, M] 18/2/2011 - 15/4/2011 8.660254037844387 BearFlag
[R, M, H, M, M, H, H] 5/12/2011 - 1/2/2012 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 17/1/2013 - 15/3/2013 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 28/4/2014 - 23/6/2014 8.660254037844387 BearFlag
