Tamanho da Janela:40
[R, M, H, H, M, M, H] 7/6/2001 - 2/8/2001 7.0710678118654755 BearFlag
[M, M, H, H, H, H, M] 8/7/2003 - 2/9/2003 7.0710678118654755 BearFlag
[M, M, M, H, H, H, H] 29/10/2003 - 24/12/2003 7.0710678118654755 BearFlag
[R, R, H, H, M, H, M] 22/4/2004 - 18/6/2004 8.660254037844387 BearFlag
[R, M, H, H, M, M, H] 26/9/2005 - 18/11/2005 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 13/7/2006 - 7/9/2006 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 3/11/2006 - 3/1/2007 8.660254037844387 BearFlag
[R, M, H, M, R, H, C] 10/6/2008 - 5/8/2008 7.0710678118654755 DoubleBottom
[M, R, R, R, R, M, H] 11/1/2010 - 9/3/2010 8.660254037844387 BullFlag
[M, R, R, H, C, H, R] 6/5/2010 - 1/7/2010 8.660254037844387 Cup
[R, M, M, H, H, H, M] 5/12/2011 - 1/2/2012 7.0710678118654755 BearFlag
[R, R, M, H, H, H, M] 29/5/2012 - 24/7/2012 8.660254037844387 Cup
[M, M, M, H, H, H, M] 19/11/2012 - 16/1/2013 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 17/1/2013 - 15/3/2013 8.660254037844387 BearFlag
