Tamanho da Janela:20
[M, M, M, H, H, H, M] 14/11/2000 - 12/12/2000 8.660254037844387 BearFlag
[R, M, H, M, R, H, H] 13/12/2000 - 11/1/2001 8.660254037844387 DoubleBottom
[M, M, H, H, M, M, H] 29/4/2002 - 24/5/2002 8.660254037844387 BearFlag
[M, M, H, H, H, H, M] 14/4/2008 - 9/5/2008 7.0710678118654755 BearFlag
[R, M, H, C, H, H, M] 9/7/2008 - 5/8/2008 7.0710678118654755 BearFlag
[W, W, M, C, C, C, R] 2/10/2008 - 29/10/2008 8.660254037844387 Cup
[M, R, R, R, M, H, H] 22/6/2009 - 20/7/2009 8.660254037844387 BullFlag
[R, R, M, M, R, H, H] 14/10/2009 - 10/11/2009 8.660254037844387 DoubleBottom
[M, R, R, R, M, H, H] 11/11/2009 - 9/12/2009 8.660254037844387 BullFlag
[M, M, M, H, H, H, H] 21/1/2011 - 17/2/2011 7.0710678118654755 BearFlag
[R, M, H, H, M, M, H] 5/12/2011 - 3/1/2012 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 2/2/2012 - 1/3/2012 8.660254037844387 BearFlag
[R, M, M, M, M, H, H] 30/3/2012 - 27/4/2012 8.660254037844387 BearFlag
[M, H, H, H, H, H, M] 16/10/2014 - 12/11/2014 8.660254037844387 BearFlag
