Tamanho da Janela:20
[R, M, M, H, H, H, M] 10/4/2001 - 8/5/2001 7.0710678118654755 BearFlag
[R, M, M, H, H, M, M] 28/5/2002 - 24/6/2002 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 18/4/2006 - 15/5/2006 8.660254037844387 BullFlag
[M, M, M, H, H, H, M] 2/4/2007 - 30/4/2007 8.660254037844387 BearFlag
[R, M, M, H, H, M, M] 14/3/2008 - 11/4/2008 8.660254037844387 BearFlag
[M, M, H, H, M, H, H] 9/7/2008 - 5/8/2008 7.0710678118654755 BearFlag
[R, R, M, H, H, H, M] 28/11/2008 - 26/12/2008 8.660254037844387 Cup
[R, M, M, H, H, C, H] 26/2/2009 - 25/3/2009 7.0710678118654755 BearFlag
[R, H, H, H, M, M, H] 26/3/2009 - 23/4/2009 8.660254037844387 BearFlag
[M, H, H, H, H, H, M] 9/2/2010 - 9/3/2010 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 28/9/2010 - 25/10/2010 8.660254037844387 BullFlag
[R, R, M, H, H, H, M] 18/2/2011 - 18/3/2011 8.660254037844387 Cup
[M, M, M, H, H, H, M] 15/6/2011 - 13/7/2011 8.660254037844387 BearFlag
[R, M, M, H, H, H, M] 29/5/2012 - 25/6/2012 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 28/4/2014 - 23/5/2014 8.660254037844387 BearFlag
