Tamanho da Janela:20
[M, M, H, H, H, H, M] 24/7/2000 - 18/8/2000 7.0710678118654755 BearFlag
[R, M, H, M, M, M, H] 13/12/2000 - 11/1/2001 8.660254037844387 BearFlag
[R, R, H, M, R, M, H] 29/10/2003 - 25/11/2003 8.660254037844387 DoubleBottom
[M, R, R, R, R, H, H] 26/11/2003 - 24/12/2003 7.0710678118654755 BullFlag
[R, M, M, H, H, M, M] 27/1/2004 - 24/2/2004 8.660254037844387 BearFlag
[R, R, M, H, H, H, M] 7/1/2005 - 4/2/2005 8.660254037844387 Cup
[M, M, M, H, H, H, M] 13/7/2006 - 9/8/2006 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 8/9/2006 - 5/10/2006 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 10/12/2009 - 8/1/2010 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 21/1/2011 - 17/2/2011 8.660254037844387 BearFlag
[R, M, H, H, M, M, M] 11/8/2011 - 8/9/2011 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 5/12/2011 - 3/1/2012 8.660254037844387 BullFlag
[M, M, M, H, H, H, H] 16/4/2013 - 13/5/2013 7.0710678118654755 BearFlag
