Tamanho da Janela:20
[R, R, M, C, C, C, R] 3/1/2000 - 31/1/2000 5.0 Cup
[W, R, C, R, W, H, C] 31/8/2001 - 4/10/2001 8.660254037844387 DoubleBottom
[R, R, H, C, C, C, R] 25/6/2002 - 23/7/2002 7.0710678118654755 Cup
[R, M, C, C, H, H, M] 13/12/2002 - 13/1/2003 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 7/2/2005 - 7/3/2005 8.660254037844387 BullFlag
[M, M, H, H, H, H, M] 4/5/2005 - 1/6/2005 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 2/4/2007 - 30/4/2007 8.660254037844387 BearFlag
[R, M, H, M, M, H, H] 16/11/2007 - 14/12/2007 7.0710678118654755 BearFlag
[M, R, R, W, R, H, C] 30/10/2008 - 26/11/2008 7.0710678118654755 BullFlag
[R, R, M, H, H, H, R] 28/11/2008 - 26/12/2008 7.0710678118654755 Cup
[R, M, H, C, H, H, R] 26/2/2009 - 25/3/2009 8.660254037844387 Cup
[M, H, H, H, M, H, H] 26/3/2009 - 23/4/2009 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 9/2/2010 - 9/3/2010 8.660254037844387 BearFlag
[R, M, H, M, M, H, H] 2/3/2012 - 29/3/2012 7.0710678118654755 BearFlag
[R, R, M, H, H, H, M] 20/9/2012 - 17/10/2012 8.660254037844387 Cup
[R, R, R, R, M, H, H] 8/8/2013 - 5/9/2013 7.0710678118654755 BullFlag
[M, H, H, H, M, H, H] 31/12/2013 - 29/1/2014 8.660254037844387 BearFlag
[R, M, H, H, M, M, M] 30/1/2014 - 27/2/2014 8.660254037844387 BearFlag
