Tamanho da Janela:20
[M, H, H, H, M, H, H] 1/3/2000 - 28/3/2000 8.660254037844387 BearFlag
[R, R, R, W, R, M, H] 31/8/2001 - 4/10/2001 8.660254037844387 BullFlag
[R, M, H, H, M, M, M] 31/1/2002 - 28/2/2002 8.660254037844387 BearFlag
[R, R, M, H, H, H, R] 21/8/2002 - 18/9/2002 7.0710678118654755 Cup
[M, H, H, H, M, H, H] 1/10/2003 - 28/10/2003 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 26/12/2003 - 26/1/2004 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 17/8/2004 - 14/9/2004 8.660254037844387 BullFlag
[M, R, R, R, M, H, H] 29/7/2005 - 25/8/2005 8.660254037844387 BullFlag
[M, M, M, H, H, H, M] 23/8/2007 - 20/9/2007 8.660254037844387 BearFlag
[M, M, R, R, R, H, H] 14/10/2009 - 10/11/2009 8.660254037844387 BullFlag
[R, R, M, H, H, M, R] 11/1/2010 - 8/2/2010 8.660254037844387 Cup
[M, M, M, H, H, H, M] 21/1/2011 - 17/2/2011 8.660254037844387 BearFlag
[R, R, M, H, H, M, R] 29/5/2012 - 25/6/2012 8.660254037844387 Cup
