Tamanho da Janela:20
[R, R, M, H, H, M, R] 23/6/2000 - 21/7/2000 8.660254037844387 Cup
[M, R, R, R, R, M, H] 19/9/2000 - 16/10/2000 8.660254037844387 BullFlag
[M, H, H, H, M, H, H] 17/10/2000 - 13/11/2000 8.660254037844387 BearFlag
[R, M, H, H, M, M, H] 6/7/2001 - 2/8/2001 7.0710678118654755 BearFlag
[M, H, H, H, H, H, M] 5/8/2003 - 2/9/2003 8.660254037844387 BearFlag
[M, H, H, H, H, H, M] 2/6/2005 - 29/6/2005 8.660254037844387 BearFlag
[M, M, H, H, H, H, M] 14/6/2006 - 12/7/2006 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 4/1/2007 - 1/2/2007 8.660254037844387 BearFlag
[M, H, H, H, H, H, M] 5/3/2007 - 30/3/2007 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 26/7/2007 - 22/8/2007 8.660254037844387 BullFlag
[M, M, H, H, H, H, M] 23/8/2007 - 20/9/2007 7.0710678118654755 BearFlag
[R, R, H, H, M, M, H] 2/10/2008 - 29/10/2008 8.660254037844387 BearFlag
[R, M, H, H, M, M, M] 26/2/2009 - 25/3/2009 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 16/9/2009 - 13/10/2009 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 30/8/2010 - 27/9/2010 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 22/8/2012 - 19/9/2012 8.660254037844387 BearFlag
