Tamanho da Janela:20
[R, R, M, H, H, M, R] 27/4/2000 - 24/5/2000 8.660254037844387 Cup
[W, R, H, H, M, H, H] 31/8/2001 - 4/10/2001 8.660254037844387 DoubleBottom
[M, M, H, H, M, M, H] 5/10/2001 - 1/11/2001 8.660254037844387 BearFlag
[R, M, H, H, H, M, M] 29/4/2002 - 24/5/2002 7.0710678118654755 BearFlag
[M, M, H, H, H, H, M] 27/1/2004 - 24/2/2004 7.0710678118654755 BearFlag
[R, M, H, H, H, M, M] 24/10/2005 - 18/11/2005 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 13/7/2006 - 9/8/2006 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 10/6/2008 - 8/7/2008 8.660254037844387 BullFlag
[R, M, H, H, M, M, H] 9/7/2008 - 5/8/2008 7.0710678118654755 BearFlag
[M, R, R, W, R, H, C] 30/10/2008 - 26/11/2008 7.0710678118654755 BullFlag
[M, M, M, H, H, H, M] 16/9/2009 - 13/10/2009 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 15/6/2011 - 13/7/2011 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 26/6/2012 - 24/7/2012 8.660254037844387 BearFlag
[M, M, M, H, M, H, H] 4/10/2013 - 31/10/2013 8.660254037844387 BearFlag
[M, M, H, M, M, H, H] 30/1/2014 - 27/2/2014 8.660254037844387 BearFlag
