Tamanho da Janela:20
[R, R, M, H, H, H, M] 13/3/2001 - 9/4/2001 8.660254037844387 Cup
[R, M, H, H, M, H, H] 31/1/2002 - 28/2/2002 5.0 BearFlag
[M, H, H, H, M, H, H] 1/10/2003 - 28/10/2003 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 15/9/2004 - 12/10/2004 8.660254037844387 BearFlag
[M, M, M, M, H, H, H] 7/1/2005 - 4/2/2005 8.660254037844387 BearFlag
[R, H, H, H, M, M, H] 24/10/2005 - 18/11/2005 8.660254037844387 BearFlag
[R, R, M, H, H, H, M] 13/7/2006 - 9/8/2006 8.660254037844387 Cup
[R, R, M, H, H, H, M] 16/9/2009 - 13/10/2009 8.660254037844387 Cup
[M, M, H, H, M, H, M] 28/9/2010 - 25/10/2010 8.660254037844387 BearFlag
[R, M, H, H, M, M, M] 5/12/2011 - 3/1/2012 8.660254037844387 BearFlag
[M, M, H, M, M, H, H] 30/3/2012 - 27/4/2012 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 4/10/2013 - 31/10/2013 8.660254037844387 BearFlag
