Tamanho da Janela:20
[M, R, R, R, R, M, H] 9/5/2001 - 6/6/2001 8.660254037844387 BullFlag
[R, H, H, H, M, H, H] 7/6/2001 - 5/7/2001 7.0710678118654755 BearFlag
[R, M, M, H, H, M, M] 31/1/2002 - 28/2/2002 8.660254037844387 BearFlag
[R, M, H, C, H, H, M] 28/5/2002 - 24/6/2002 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 9/5/2003 - 6/6/2003 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 26/11/2003 - 24/12/2003 8.660254037844387 BullFlag
[R, R, M, H, H, H, M] 27/1/2004 - 24/2/2004 8.660254037844387 Cup
[M, M, M, M, H, H, H] 4/5/2005 - 1/6/2005 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 21/11/2005 - 19/12/2005 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 3/11/2006 - 1/12/2006 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 1/5/2007 - 29/5/2007 8.660254037844387 BearFlag
[W, R, H, C, H, H, R] 16/11/2007 - 14/12/2007 8.660254037844387 Cup
[R, R, H, H, R, H, C] 6/8/2008 - 3/9/2008 7.0710678118654755 DoubleBottom
[M, R, R, R, R, M, H] 2/8/2010 - 27/8/2010 8.660254037844387 BullFlag
[M, H, H, H, M, H, H] 23/11/2010 - 21/12/2010 8.660254037844387 BearFlag
[R, M, H, M, R, H, H] 30/3/2012 - 27/4/2012 8.660254037844387 DoubleBottom
[R, R, H, M, R, M, H] 29/5/2012 - 25/6/2012 8.660254037844387 DoubleBottom
[M, M, M, H, H, H, M] 25/7/2012 - 21/8/2012 8.660254037844387 BearFlag
[R, M, H, M, M, M, H] 20/9/2012 - 17/10/2012 8.660254037844387 BearFlag
[R, M, H, H, M, M, M] 18/12/2012 - 16/1/2013 8.660254037844387 BearFlag
[R, R, M, H, H, H, M] 15/2/2013 - 15/3/2013 8.660254037844387 Cup
[M, M, H, H, H, M, M] 4/10/2013 - 31/10/2013 8.660254037844387 BearFlag
[R, M, H, H, M, M, M] 1/11/2013 - 29/11/2013 8.660254037844387 BearFlag
[M, M, M, H, H, H, H] 2/12/2013 - 30/12/2013 7.0710678118654755 BearFlag
