Tamanho da Janela:20
[M, M, H, M, M, H, H] 23/6/2000 - 21/7/2000 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 12/1/2001 - 9/2/2001 8.660254037844387 BearFlag
[R, M, M, H, H, M, M] 10/4/2001 - 8/5/2001 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 2/1/2002 - 30/1/2002 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 28/5/2002 - 24/6/2002 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 20/1/2006 - 16/2/2006 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 14/6/2006 - 12/7/2006 8.660254037844387 BearFlag
[R, R, M, H, H, H, M] 26/2/2009 - 25/3/2009 8.660254037844387 Cup
[R, M, H, H, M, H, M] 26/3/2009 - 23/4/2009 7.0710678118654755 BearFlag
[M, R, R, R, M, H, H] 14/10/2009 - 10/11/2009 8.660254037844387 BullFlag
[M, H, H, H, M, H, H] 22/12/2010 - 20/1/2011 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 5/12/2011 - 3/1/2012 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 16/4/2013 - 13/5/2013 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 2/12/2013 - 30/12/2013 8.660254037844387 BearFlag
