Tamanho da Janela:20
[M, M, M, H, H, H, M] 1/3/2000 - 28/3/2000 8.660254037844387 BearFlag
[M, M, H, C, H, H, M] 13/12/2000 - 11/1/2001 8.660254037844387 BearFlag
[R, M, H, M, M, M, H] 31/1/2002 - 28/2/2002 8.660254037844387 BearFlag
[M, M, H, H, H, M, M] 3/9/2003 - 30/9/2003 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 15/9/2004 - 12/10/2004 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 13/10/2004 - 9/11/2004 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 4/5/2005 - 1/6/2005 8.660254037844387 BearFlag
[R, M, H, H, M, M, M] 24/10/2005 - 18/11/2005 8.660254037844387 BearFlag
[M, M, H, H, H, M, M] 14/4/2008 - 9/5/2008 8.660254037844387 BearFlag
[R, R, M, R, R, M, H] 10/6/2008 - 8/7/2008 8.660254037844387 BullFlag
[W, R, H, M, R, M, H] 2/10/2008 - 29/10/2008 7.0710678118654755 DoubleBottom
[R, M, H, C, H, H, M] 28/11/2008 - 26/12/2008 7.0710678118654755 BearFlag
[R, H, H, H, M, H, H] 26/3/2009 - 23/4/2009 7.0710678118654755 BearFlag
[R, R, M, H, H, M, R] 29/5/2012 - 25/6/2012 8.660254037844387 Cup
[M, M, M, H, H, H, M] 30/1/2014 - 27/2/2014 8.660254037844387 BearFlag
