Tamanho da Janela:20
[R, M, H, H, M, M, M] 13/3/2001 - 9/4/2001 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 2/1/2002 - 30/1/2002 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 31/1/2002 - 28/2/2002 8.660254037844387 BearFlag
[R, M, M, H, H, M, M] 28/5/2002 - 24/6/2002 8.660254037844387 BearFlag
[M, R, M, H, H, H, R] 17/10/2002 - 13/11/2002 8.660254037844387 Cup
[M, M, M, H, H, H, M] 4/5/2005 - 1/6/2005 8.660254037844387 BearFlag
[R, R, M, H, H, M, R] 23/8/2007 - 20/9/2007 8.660254037844387 Cup
[R, R, M, H, H, M, R] 16/11/2007 - 14/12/2007 8.660254037844387 Cup
[M, H, H, H, M, H, H] 6/8/2008 - 3/9/2008 8.660254037844387 BearFlag
[R, M, H, C, H, H, R] 28/11/2008 - 26/12/2008 8.660254037844387 Cup
[R, R, M, R, R, M, H] 16/9/2009 - 13/10/2009 8.660254037844387 BullFlag
[R, M, H, M, R, H, H] 9/9/2011 - 6/10/2011 8.660254037844387 DoubleBottom
[R, M, H, H, M, H, H] 5/12/2011 - 3/1/2012 5.0 BearFlag
[R, R, M, M, R, H, H] 30/3/2012 - 27/4/2012 8.660254037844387 DoubleBottom
[M, M, M, H, H, H, M] 22/8/2012 - 19/9/2012 8.660254037844387 BearFlag
[R, M, H, H, M, M, M] 15/2/2013 - 15/3/2013 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 1/11/2013 - 29/11/2013 8.660254037844387 BearFlag
[M, M, H, M, M, H, H] 23/7/2014 - 19/8/2014 8.660254037844387 BearFlag
