Tamanho da Janela:60
[W, R, H, H, R, M, H] 28/5/2002 - 20/8/2002 8.660254037844387 DoubleBottom
[R, W, R, H, C, H, R] 21/8/2002 - 13/11/2002 8.660254037844387 Cup
[R, R, M, H, H, M, R] 14/11/2002 - 11/2/2003 8.660254037844387 Cup
[R, R, M, C, C, H, M] 12/2/2003 - 8/5/2003 5.0 Cup
[M, M, H, H, M, H, H] 27/1/2004 - 21/4/2004 7.0710678118654755 BearFlag
[R, M, H, C, H, H, M] 23/8/2007 - 15/11/2007 7.0710678118654755 BearFlag
[M, R, R, R, M, H, H] 14/2/2008 - 9/5/2008 8.660254037844387 BullFlag
[M, H, H, C, H, H, H] 21/7/2009 - 13/10/2009 8.660254037844387 BearFlag
[R, R, M, H, H, H, M] 5/12/2011 - 1/3/2012 8.660254037844387 Cup
[M, M, M, H, H, H, M] 22/8/2012 - 16/11/2012 8.660254037844387 BearFlag
[M, M, H, H, H, M, M] 14/5/2013 - 7/8/2013 8.660254037844387 BearFlag
