Tamanho da Janela:40
[R, R, M, R, R, M, H] 3/1/2000 - 29/2/2000 8.660254037844387 BullFlag
[R, R, H, C, H, H, M] 1/3/2000 - 26/4/2000 8.660254037844387 Cup
[M, H, H, H, M, H, H] 13/3/2003 - 8/5/2003 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 8/7/2003 - 2/9/2003 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 26/12/2003 - 24/2/2004 8.660254037844387 BearFlag
[R, M, M, H, H, H, M] 6/4/2005 - 1/6/2005 7.0710678118654755 BearFlag
[M, R, R, H, C, H, R] 17/12/2007 - 13/2/2008 8.660254037844387 Cup
[R, R, H, M, R, M, H] 10/6/2008 - 5/8/2008 8.660254037844387 DoubleBottom
[R, R, M, C, C, C, M] 11/11/2009 - 8/1/2010 7.0710678118654755 Cup
[R, R, H, H, M, H, H] 11/1/2010 - 9/3/2010 7.0710678118654755 BearFlag
[M, R, R, R, M, H, H] 26/10/2010 - 21/12/2010 8.660254037844387 BullFlag
[R, M, H, H, H, M, M] 18/2/2011 - 15/4/2011 7.0710678118654755 BearFlag
[R, H, H, C, H, H, M] 5/12/2011 - 1/2/2012 8.660254037844387 BearFlag
[R, R, M, C, H, H, R] 30/3/2012 - 25/5/2012 5.0 Cup
[M, M, H, H, M, H, H] 25/7/2012 - 19/9/2012 7.0710678118654755 BearFlag
