Tamanho da Janela:20
[M, M, M, H, H, H, M] 14/11/2000 - 12/12/2000 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 7/6/2001 - 5/7/2001 8.660254037844387 BearFlag
[M, R, R, R, R, M, H] 19/9/2002 - 16/10/2002 8.660254037844387 BullFlag
[R, M, M, H, H, H, M] 8/7/2003 - 4/8/2003 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 4/5/2005 - 1/6/2005 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 30/5/2007 - 26/6/2007 8.660254037844387 BearFlag
[M, M, H, H, M, M, H] 26/2/2009 - 25/3/2009 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 9/9/2011 - 6/10/2011 8.660254037844387 BullFlag
[R, R, M, H, H, H, M] 29/5/2012 - 25/6/2012 8.660254037844387 Cup
[M, M, M, H, H, H, M] 16/4/2013 - 13/5/2013 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 12/6/2013 - 10/7/2013 8.660254037844387 BullFlag
[M, M, H, H, M, H, H] 30/1/2014 - 27/2/2014 7.0710678118654755 BearFlag
