Tamanho da Janela:40
[R, M, M, H, H, H, M] 8/7/2003 - 2/9/2003 7.0710678118654755 BearFlag
[R, M, H, H, M, M, H] 3/9/2003 - 28/10/2003 7.0710678118654755 BearFlag
[M, R, R, R, M, H, H] 22/4/2004 - 18/6/2004 8.660254037844387 BullFlag
[M, M, H, M, M, H, H] 21/11/2005 - 19/1/2006 8.660254037844387 BearFlag
[R, R, H, M, R, M, H] 10/6/2008 - 5/8/2008 8.660254037844387 DoubleBottom
[M, R, R, R, M, H, H] 22/12/2010 - 17/2/2011 8.660254037844387 BullFlag
[R, R, M, H, H, H, M] 18/2/2011 - 15/4/2011 8.660254037844387 Cup
[R, M, H, M, M, H, H] 5/12/2011 - 1/2/2012 7.0710678118654755 BearFlag
[R, M, H, C, H, H, M] 29/5/2012 - 24/7/2012 7.0710678118654755 BearFlag
[R, M, H, M, M, H, H] 25/7/2012 - 19/9/2012 7.0710678118654755 BearFlag
[R, R, M, H, H, M, R] 20/9/2012 - 16/11/2012 8.660254037844387 Cup
[M, R, R, R, M, H, H] 14/5/2013 - 10/7/2013 8.660254037844387 BullFlag
