Tamanho da Janela:20
[R, M, M, H, M, H, M] 15/11/2000 - 13/12/2000 8.660254037844387 BearFlag
[R, H, H, C, H, H, M] 14/12/2000 - 12/1/2001 8.660254037844387 BearFlag
[R, M, H, H, M, H, H] 16/1/2001 - 12/2/2001 5.0 BearFlag
[R, W, M, C, C, H, M] 13/2/2001 - 13/3/2001 7.0710678118654755 Cup
[M, M, M, H, H, H, M] 14/3/2001 - 10/4/2001 8.660254037844387 BearFlag
[R, R, M, M, H, H, H] 9/7/2001 - 3/8/2001 8.660254037844387 BearFlag
[R, H, H, H, M, M, H] 5/11/2001 - 3/12/2001 8.660254037844387 BearFlag
[R, R, M, H, H, H, R] 20/9/2002 - 17/10/2002 7.0710678118654755 Cup
[M, M, M, H, H, H, H] 15/11/2002 - 13/12/2002 7.0710678118654755 BearFlag
[M, R, R, R, M, H, H] 13/2/2003 - 13/3/2003 8.660254037844387 BullFlag
[M, M, M, H, H, H, M] 11/4/2003 - 9/5/2003 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 31/5/2007 - 27/6/2007 8.660254037844387 BearFlag
[R, H, H, H, M, H, H] 17/3/2008 - 14/4/2008 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 13/5/2008 - 10/6/2008 8.660254037844387 BearFlag
[R, H, H, H, M, H, H] 27/2/2009 - 26/3/2009 7.0710678118654755 BearFlag
[M, R, R, R, M, H, H] 23/6/2009 - 21/7/2009 8.660254037844387 BullFlag
[M, R, R, R, M, H, H] 15/10/2009 - 11/11/2009 8.660254037844387 BullFlag
[M, M, H, M, M, H, H] 24/11/2010 - 22/12/2010 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 16/6/2011 - 14/7/2011 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 19/12/2012 - 17/1/2013 8.660254037844387 BearFlag
