Tamanho da Janela:40
[W, M, C, H, R, H, C] 3/1/2000 - 29/2/2000 8.660254037844387 DoubleBottom
[W, R, H, C, C, H, R] 27/4/2000 - 22/6/2000 7.0710678118654755 Cup
[R, W, R, C, C, M, R] 24/7/2002 - 18/9/2002 8.660254037844387 Cup
[R, M, H, M, R, H, H] 13/10/2004 - 8/12/2004 8.660254037844387 DoubleBottom
[M, H, H, H, M, H, H] 6/4/2005 - 1/6/2005 8.660254037844387 BearFlag
[R, M, H, H, M, M, H] 26/9/2005 - 18/11/2005 7.0710678118654755 BearFlag
[R, R, M, H, H, M, R] 4/1/2007 - 2/3/2007 8.660254037844387 Cup
[M, M, M, H, H, H, M] 23/8/2007 - 18/10/2007 8.660254037844387 BearFlag
[W, W, M, R, R, H, C] 28/1/2009 - 25/3/2009 8.660254037844387 DoubleBottom
[R, R, M, H, H, H, M] 16/9/2009 - 10/11/2009 8.660254037844387 Cup
[R, R, M, H, H, M, R] 11/11/2009 - 8/1/2010 8.660254037844387 Cup
[M, M, H, H, H, H, M] 18/2/2011 - 15/4/2011 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 25/7/2012 - 19/9/2012 8.660254037844387 BearFlag
