Tamanho da Janela:20
[R, R, M, H, H, M, R] 19/9/2000 - 16/10/2000 8.660254037844387 Cup
[M, M, H, M, M, H, H] 12/1/2001 - 9/2/2001 8.660254037844387 BearFlag
[M, M, M, H, H, C, H] 13/3/2001 - 9/4/2001 8.660254037844387 BearFlag
[R, M, M, H, H, H, M] 6/7/2001 - 2/8/2001 7.0710678118654755 BearFlag
[M, R, R, R, M, H, H] 31/8/2001 - 4/10/2001 8.660254037844387 BullFlag
[M, M, H, H, M, H, H] 31/1/2002 - 28/2/2002 7.0710678118654755 BearFlag
[R, M, H, H, M, M, M] 1/4/2002 - 26/4/2002 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 21/6/2004 - 19/7/2004 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 21/11/2005 - 19/12/2005 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 14/6/2006 - 12/7/2006 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 23/8/2007 - 20/9/2007 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 21/9/2007 - 18/10/2007 8.660254037844387 BearFlag
[M, R, R, R, R, M, H] 9/7/2008 - 5/8/2008 8.660254037844387 BullFlag
[R, R, M, H, H, M, R] 6/8/2008 - 3/9/2008 8.660254037844387 Cup
[R, R, M, H, C, M, R] 4/9/2008 - 1/10/2008 7.0710678118654755 Cup
[M, M, M, H, H, H, M] 10/3/2010 - 7/4/2010 8.660254037844387 BearFlag
[M, M, H, H, M, H, M] 30/8/2010 - 27/9/2010 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 21/1/2011 - 17/2/2011 8.660254037844387 BullFlag
[M, R, R, R, M, H, H] 9/9/2011 - 6/10/2011 8.660254037844387 BullFlag
[R, M, H, H, M, M, H] 5/12/2011 - 3/1/2012 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 2/2/2012 - 1/3/2012 8.660254037844387 BearFlag
[R, M, H, H, H, M, M] 22/8/2012 - 19/9/2012 7.0710678118654755 BearFlag
[M, H, H, H, M, H, H] 20/9/2012 - 17/10/2012 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 8/8/2013 - 5/9/2013 8.660254037844387 BullFlag
