Tamanho da Janela:20
[R, R, M, H, H, H, M] 7/6/2001 - 5/7/2001 8.660254037844387 Cup
[R, M, H, H, M, H, H] 29/4/2002 - 24/5/2002 5.0 BearFlag
[M, M, M, H, H, H, M] 13/12/2002 - 13/1/2003 8.660254037844387 BearFlag
[R, R, M, H, H, M, R] 10/4/2003 - 8/5/2003 8.660254037844387 Cup
[M, R, R, R, M, H, H] 29/10/2003 - 25/11/2003 8.660254037844387 BullFlag
[M, H, H, H, M, H, H] 17/8/2004 - 14/9/2004 8.660254037844387 BearFlag
[R, M, H, H, M, M, M] 4/5/2005 - 1/6/2005 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 20/1/2006 - 16/2/2006 8.660254037844387 BearFlag
[R, R, M, R, R, M, H] 26/7/2007 - 22/8/2007 8.660254037844387 BullFlag
[M, M, M, H, H, H, M] 17/12/2007 - 15/1/2008 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 28/1/2009 - 25/2/2009 8.660254037844387 BearFlag
[R, M, M, H, H, H, M] 14/10/2009 - 10/11/2009 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 30/8/2010 - 27/9/2010 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 23/11/2010 - 21/12/2010 8.660254037844387 BearFlag
[M, R, R, R, R, M, H] 9/9/2011 - 6/10/2011 8.660254037844387 BullFlag
[M, M, M, M, H, H, H] 1/11/2013 - 29/11/2013 8.660254037844387 BearFlag
[M, M, H, H, H, C, H] 30/1/2014 - 27/2/2014 7.0710678118654755 BearFlag
[M, R, R, R, M, H, H] 28/3/2014 - 25/4/2014 8.660254037844387 BullFlag
