Tamanho da Janela:40
[R, R, M, H, H, C, H] 7/6/2001 - 2/8/2001 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 14/11/2002 - 13/1/2003 8.660254037844387 BearFlag
[R, M, H, C, H, M, M] 8/7/2003 - 2/9/2003 8.660254037844387 BearFlag
[R, M, M, H, H, H, M] 13/10/2004 - 8/12/2004 7.0710678118654755 BearFlag
[M, H, H, H, H, H, H] 20/1/2006 - 17/3/2006 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 5/3/2007 - 30/4/2007 8.660254037844387 BearFlag
[R, R, M, H, H, H, M] 10/6/2008 - 5/8/2008 8.660254037844387 Cup
[R, M, H, H, M, M, M] 29/5/2012 - 24/7/2012 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 20/9/2012 - 16/11/2012 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 17/1/2013 - 15/3/2013 8.660254037844387 BearFlag
[R, R, M, R, R, M, H] 28/2/2014 - 25/4/2014 8.660254037844387 BullFlag
[R, R, M, H, H, H, M] 28/4/2014 - 23/6/2014 8.660254037844387 Cup
