Tamanho da Janela:20
[R, M, H, M, R, H, C] 24/7/2000 - 18/8/2000 7.0710678118654755 DoubleBottom
[R, M, M, H, H, H, M] 12/1/2001 - 9/2/2001 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 12/2/2001 - 12/3/2001 8.660254037844387 BearFlag
[M, R, R, R, R, M, H] 13/3/2001 - 9/4/2001 8.660254037844387 BullFlag
[M, M, M, H, H, H, M] 31/1/2002 - 28/2/2002 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 17/8/2004 - 14/9/2004 8.660254037844387 BearFlag
[R, R, M, H, H, M, R] 6/4/2005 - 3/5/2005 8.660254037844387 Cup
[M, M, M, H, H, H, M] 20/12/2005 - 19/1/2006 8.660254037844387 BearFlag
[R, M, H, M, M, H, H] 14/3/2008 - 11/4/2008 7.0710678118654755 BearFlag
[M, M, R, R, R, H, H] 22/6/2009 - 20/7/2009 8.660254037844387 BullFlag
[R, R, M, H, H, H, M] 16/9/2009 - 13/10/2009 8.660254037844387 Cup
[R, R, M, R, R, M, H] 6/5/2010 - 3/6/2010 8.660254037844387 BullFlag
[M, R, R, R, M, H, H] 9/9/2011 - 6/10/2011 8.660254037844387 BullFlag
[R, M, H, H, M, M, M] 5/12/2011 - 3/1/2012 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 4/1/2012 - 1/2/2012 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 30/3/2012 - 27/4/2012 8.660254037844387 BullFlag
[M, H, H, H, H, H, M] 4/10/2013 - 31/10/2013 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 27/5/2014 - 23/6/2014 8.660254037844387 BearFlag
