Tamanho da Janela:20
[M, H, H, H, M, H, H] 24/7/2000 - 18/8/2000 8.660254037844387 BearFlag
[R, W, R, H, C, H, R] 6/7/2001 - 2/8/2001 8.660254037844387 Cup
[R, M, H, H, H, H, M] 31/1/2002 - 28/2/2002 5.0 BearFlag
[R, R, M, H, H, C, H] 1/4/2002 - 26/4/2002 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 19/9/2002 - 16/10/2002 8.660254037844387 BearFlag
[R, R, M, H, H, H, M] 8/3/2005 - 5/4/2005 8.660254037844387 Cup
[M, M, H, H, M, H, H] 20/12/2005 - 19/1/2006 7.0710678118654755 BearFlag
[R, M, H, H, M, M, H] 21/9/2007 - 18/10/2007 7.0710678118654755 BearFlag
[R, M, M, M, M, H, H] 16/9/2009 - 13/10/2009 8.660254037844387 BearFlag
[R, M, H, H, M, M, M] 30/3/2012 - 27/4/2012 8.660254037844387 BearFlag
[R, M, M, M, M, H, H] 20/9/2012 - 17/10/2012 8.660254037844387 BearFlag
[M, M, H, H, M, M, H] 18/12/2012 - 16/1/2013 8.660254037844387 BearFlag
[M, M, H, H, M, H, H] 16/4/2013 - 13/5/2013 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 27/5/2014 - 23/6/2014 8.660254037844387 BearFlag
