Tamanho da Janela:20
[M, M, M, H, H, H, M] 10/4/2001 - 8/5/2001 8.660254037844387 BearFlag
[R, M, H, H, M, M, M] 1/4/2002 - 26/4/2002 8.660254037844387 BearFlag
[R, M, H, C, H, M, M] 24/7/2002 - 20/8/2002 8.660254037844387 BearFlag
[M, M, R, R, M, H, C] 14/11/2002 - 12/12/2002 8.660254037844387 BullFlag
[M, M, H, M, M, H, H] 9/5/2003 - 6/6/2003 8.660254037844387 BearFlag
[M, M, H, M, M, H, H] 1/10/2003 - 28/10/2003 8.660254037844387 BearFlag
[R, R, M, R, R, M, H] 22/4/2004 - 19/5/2004 8.660254037844387 BullFlag
[M, M, M, H, H, H, M] 21/6/2004 - 19/7/2004 8.660254037844387 BearFlag
[R, M, H, M, M, M, H] 20/7/2004 - 16/8/2004 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 4/5/2005 - 1/6/2005 8.660254037844387 BullFlag
[R, M, M, H, H, H, M] 24/10/2005 - 18/11/2005 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 21/11/2005 - 19/12/2005 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 14/6/2006 - 12/7/2006 8.660254037844387 BearFlag
[M, M, H, M, M, H, H] 6/10/2006 - 2/11/2006 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 23/8/2007 - 20/9/2007 8.660254037844387 BearFlag
[R, R, M, C, C, H, R] 29/12/2008 - 27/1/2009 0.0 Cup
[R, M, H, R, R, H, C] 26/2/2009 - 25/3/2009 8.660254037844387 DoubleBottom
[R, H, H, H, M, H, H] 24/4/2009 - 21/5/2009 7.0710678118654755 BearFlag
[M, H, H, H, H, H, M] 22/8/2012 - 19/9/2012 8.660254037844387 BearFlag
[R, M, H, H, H, M, M] 14/5/2013 - 11/6/2013 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 31/12/2013 - 29/1/2014 8.660254037844387 BearFlag
[R, R, M, H, H, H, M] 30/1/2014 - 27/2/2014 8.660254037844387 Cup
[M, M, M, H, H, H, M] 23/7/2014 - 19/8/2014 8.660254037844387 BearFlag
