Tamanho da Janela:20
[W, R, H, R, R, M, H] 22/7/2002 - 16/8/2002 8.660254037844387 DoubleBottom
[M, R, R, W, R, H, C] 11/12/2002 - 9/1/2003 7.0710678118654755 BullFlag
[W, R, H, H, M, C, C] 5/6/2003 - 2/7/2003 8.660254037844387 DoubleBottom
[R, R, M, H, H, M, R] 23/1/2004 - 20/2/2004 8.660254037844387 Cup
[R, R, M, M, H, H, H] 4/3/2005 - 1/4/2005 8.660254037844387 BearFlag
[R, R, M, H, H, H, M] 1/3/2007 - 28/3/2007 8.660254037844387 Cup
[M, M, H, M, M, H, H] 21/8/2007 - 18/9/2007 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 19/9/2007 - 16/10/2007 8.660254037844387 BearFlag
[R, R, M, H, H, H, M] 14/11/2007 - 12/12/2007 8.660254037844387 Cup
[M, R, M, H, H, H, R] 7/7/2008 - 1/8/2008 8.660254037844387 Cup
[R, M, H, H, M, M, M] 2/9/2008 - 29/9/2008 8.660254037844387 BearFlag
[M, M, H, H, M, H, H] 24/2/2009 - 23/3/2009 7.0710678118654755 BearFlag
[R, M, H, C, H, H, R] 24/3/2009 - 21/4/2009 8.660254037844387 Cup
[R, M, M, C, C, H, M] 7/1/2010 - 4/2/2010 7.0710678118654755 Cup
[M, M, M, M, H, H, H] 8/3/2010 - 5/4/2010 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 26/8/2010 - 23/9/2010 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 19/1/2011 - 15/2/2011 8.660254037844387 BearFlag
[R, R, M, R, R, M, H] 16/2/2011 - 16/3/2011 8.660254037844387 BullFlag
[M, M, H, H, H, H, M] 13/6/2011 - 11/7/2011 7.0710678118654755 BearFlag
[R, R, M, H, H, H, R] 24/5/2012 - 21/6/2012 7.0710678118654755 Cup
[M, M, M, M, H, H, H] 6/8/2013 - 3/9/2013 8.660254037844387 BearFlag
[R, R, M, H, H, H, M] 27/12/2013 - 27/1/2014 8.660254037844387 Cup
[R, R, R, H, H, H, R] 26/3/2014 - 23/4/2014 8.660254037844387 Cup
[R, M, H, M, R, H, C] 24/4/2014 - 21/5/2014 7.0710678118654755 DoubleBottom
[R, R, M, H, H, H, M] 21/7/2014 - 15/8/2014 8.660254037844387 Cup
