Tamanho da Janela:40
[M, H, H, H, M, H, H] 7/6/2001 - 2/8/2001 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 5/10/2001 - 30/11/2001 8.660254037844387 BearFlag
[R, M, H, M, R, H, H] 14/1/2003 - 12/3/2003 8.660254037844387 DoubleBottom
[R, M, H, H, M, M, H] 8/7/2003 - 2/9/2003 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 3/9/2003 - 28/10/2003 8.660254037844387 BearFlag
[R, R, M, H, H, H, M] 22/4/2004 - 18/6/2004 8.660254037844387 Cup
[R, R, M, H, H, H, M] 6/4/2005 - 1/6/2005 8.660254037844387 Cup
[M, M, M, H, H, H, M] 26/9/2005 - 18/11/2005 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 4/1/2007 - 2/3/2007 8.660254037844387 BearFlag
[R, M, H, C, H, H, M] 14/2/2008 - 11/4/2008 7.0710678118654755 BearFlag
[M, R, R, R, R, M, H] 10/6/2008 - 5/8/2008 8.660254037844387 BullFlag
[M, M, M, M, H, H, H] 26/10/2010 - 21/12/2010 8.660254037844387 BearFlag
[M, M, M, H, M, H, H] 5/12/2011 - 1/2/2012 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 18/3/2013 - 13/5/2013 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 20/8/2014 - 15/10/2014 8.660254037844387 BearFlag
