Tamanho da Janela:20
[R, R, M, H, H, C, H] 25/5/2000 - 22/6/2000 8.660254037844387 BearFlag
[R, M, H, M, M, H, H] 12/1/2001 - 9/2/2001 7.0710678118654755 BearFlag
[M, R, R, R, M, H, C] 31/8/2001 - 4/10/2001 7.0710678118654755 BullFlag
[R, M, H, C, H, H, M] 31/1/2002 - 28/2/2002 7.0710678118654755 BearFlag
[R, R, M, H, H, H, H] 1/4/2002 - 26/4/2002 7.0710678118654755 BearFlag
[M, R, R, H, C, H, R] 24/7/2002 - 20/8/2002 8.660254037844387 Cup
[M, M, H, H, H, H, M] 27/1/2004 - 24/2/2004 7.0710678118654755 BearFlag
[M, M, H, H, M, H, H] 21/6/2004 - 19/7/2004 7.0710678118654755 BearFlag
[M, H, H, H, M, H, H] 20/12/2005 - 19/1/2006 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 27/6/2007 - 25/7/2007 8.660254037844387 BearFlag
[R, R, H, C, C, H, M] 14/3/2008 - 11/4/2008 7.0710678118654755 Cup
[R, M, H, M, R, C, C] 26/2/2009 - 25/3/2009 8.660254037844387 DoubleBottom
[M, M, M, H, H, H, M] 10/12/2009 - 8/1/2010 8.660254037844387 BearFlag
[M, R, R, W, R, H, H] 9/9/2011 - 6/10/2011 8.660254037844387 BullFlag
[R, R, M, H, H, H, M] 30/4/2012 - 25/5/2012 8.660254037844387 Cup
