Tamanho da Janela:20
[W, W, M, C, C, C, R] 29/3/2000 - 26/4/2000 8.660254037844387 Cup
[W, R, H, H, R, M, H] 24/7/2000 - 18/8/2000 8.660254037844387 DoubleBottom
[R, M, H, M, R, C, C] 6/7/2001 - 2/8/2001 8.660254037844387 DoubleBottom
[R, R, M, H, H, H, R] 3/8/2001 - 30/8/2001 7.0710678118654755 Cup
[R, R, H, C, H, M, R] 31/1/2002 - 28/2/2002 8.660254037844387 Cup
[R, R, M, H, H, H, M] 9/6/2003 - 7/7/2003 8.660254037844387 Cup
[M, M, M, H, H, H, M] 13/10/2004 - 9/11/2004 8.660254037844387 BearFlag
[R, M, M, H, H, H, M] 26/9/2005 - 21/10/2005 7.0710678118654755 BearFlag
[M, M, H, H, M, M, H] 24/10/2005 - 18/11/2005 8.660254037844387 BearFlag
[M, M, H, C, H, H, M] 20/12/2005 - 19/1/2006 8.660254037844387 BearFlag
[M, M, H, M, M, H, H] 20/1/2006 - 16/2/2006 8.660254037844387 BearFlag
[R, R, M, H, H, H, M] 27/6/2007 - 25/7/2007 8.660254037844387 Cup
[R, W, R, R, M, H, H] 26/7/2007 - 22/8/2007 8.660254037844387 BullFlag
[R, M, M, H, H, H, M] 14/3/2008 - 11/4/2008 7.0710678118654755 BearFlag
[M, R, R, R, M, H, H] 10/6/2008 - 8/7/2008 8.660254037844387 BullFlag
[M, H, H, H, H, H, M] 9/7/2008 - 5/8/2008 8.660254037844387 BearFlag
[R, R, M, H, H, C, H] 26/3/2009 - 23/4/2009 8.660254037844387 BearFlag
[R, M, H, M, R, H, H] 18/8/2009 - 15/9/2009 8.660254037844387 DoubleBottom
[M, M, M, H, H, H, M] 10/3/2010 - 7/4/2010 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 2/8/2010 - 27/8/2010 8.660254037844387 BullFlag
[R, H, H, H, M, H, H] 4/1/2012 - 1/2/2012 7.0710678118654755 BearFlag
[R, M, H, H, H, M, M] 2/3/2012 - 29/3/2012 7.0710678118654755 BearFlag
[R, R, M, M, R, H, H] 18/10/2012 - 16/11/2012 8.660254037844387 DoubleBottom
[M, M, H, H, H, M, M] 19/11/2012 - 17/12/2012 8.660254037844387 BearFlag
[R, M, H, M, M, M, H] 16/4/2013 - 13/5/2013 8.660254037844387 BearFlag
