Tamanho da Janela:20
[M, M, M, H, H, H, M] 14/11/2000 - 12/12/2000 8.660254037844387 BearFlag
[R, R, H, H, H, H, M] 5/10/2001 - 1/11/2001 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 1/3/2002 - 28/3/2002 8.660254037844387 BearFlag
[R, R, M, H, H, M, R] 21/8/2002 - 18/9/2002 8.660254037844387 Cup
[R, R, M, R, R, M, H] 14/1/2003 - 11/2/2003 8.660254037844387 BullFlag
[M, M, M, H, H, H, M] 27/1/2004 - 24/2/2004 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 25/2/2004 - 23/3/2004 8.660254037844387 BullFlag
[R, M, M, H, H, H, M] 17/8/2004 - 14/9/2004 7.0710678118654755 BearFlag
[M, H, H, H, M, H, H] 7/1/2005 - 4/2/2005 8.660254037844387 BearFlag
[R, R, M, H, H, H, H] 8/9/2006 - 5/10/2006 7.0710678118654755 BearFlag
[W, R, H, R, W, M, C] 30/10/2008 - 26/11/2008 8.660254037844387 DoubleBottom
[M, H, H, H, M, H, H] 10/12/2009 - 8/1/2010 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 23/11/2010 - 21/12/2010 8.660254037844387 BearFlag
[M, R, R, R, R, M, H] 30/4/2012 - 25/5/2012 8.660254037844387 BullFlag
[R, M, H, H, M, M, M] 22/8/2012 - 19/9/2012 8.660254037844387 BearFlag
[R, R, M, H, H, H, M] 15/2/2013 - 15/3/2013 8.660254037844387 Cup
