Tamanho da Janela:40
[R, M, H, C, H, H, M] 1/3/2000 - 26/4/2000 7.0710678118654755 BearFlag
[M, R, R, R, M, H, H] 17/10/2000 - 12/12/2000 8.660254037844387 BullFlag
[M, R, R, R, M, H, H] 7/6/2001 - 2/8/2001 8.660254037844387 BullFlag
[M, M, M, H, H, H, M] 1/4/2002 - 24/5/2002 8.660254037844387 BearFlag
[M, R, R, R, R, M, H] 25/2/2004 - 21/4/2004 8.660254037844387 BullFlag
[M, M, M, H, H, H, M] 20/3/2006 - 15/5/2006 8.660254037844387 BearFlag
[M, R, R, R, R, M, H] 27/6/2007 - 22/8/2007 8.660254037844387 BullFlag
[M, M, M, H, H, H, M] 23/8/2007 - 18/10/2007 8.660254037844387 BearFlag
[W, R, H, H, R, M, H] 10/6/2008 - 5/8/2008 8.660254037844387 DoubleBottom
[R, R, R, M, M, H, H] 11/1/2010 - 9/3/2010 8.660254037844387 BullFlag
[R, M, H, H, M, M, M] 26/10/2010 - 21/12/2010 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 22/12/2010 - 17/2/2011 8.660254037844387 BearFlag
[M, H, H, H, H, H, H] 5/12/2011 - 1/2/2012 7.0710678118654755 BearFlag
[R, R, M, H, H, M, R] 29/5/2012 - 24/7/2012 8.660254037844387 Cup
[R, M, M, H, H, H, M] 28/4/2014 - 23/6/2014 7.0710678118654755 BearFlag
