Tamanho da Janela:20
[R, M, H, C, H, C, H] 12/1/2001 - 9/2/2001 7.0710678118654755 BearFlag
[R, R, M, H, H, H, M] 10/4/2001 - 8/5/2001 8.660254037844387 Cup
[R, M, H, H, M, H, H] 2/11/2001 - 30/11/2001 5.0 BearFlag
[R, M, H, H, M, H, H] 31/1/2002 - 28/2/2002 5.0 BearFlag
[R, M, M, C, C, H, M] 27/1/2004 - 24/2/2004 7.0710678118654755 Cup
[R, R, M, H, H, M, R] 22/4/2004 - 19/5/2004 8.660254037844387 Cup
[R, R, M, H, H, H, M] 20/7/2004 - 16/8/2004 8.660254037844387 Cup
[M, H, H, H, M, H, H] 13/10/2004 - 9/11/2004 8.660254037844387 BearFlag
[R, H, H, H, M, H, H] 7/1/2005 - 4/2/2005 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 10/8/2006 - 7/9/2006 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 3/11/2006 - 1/12/2006 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 2/4/2007 - 30/4/2007 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 14/10/2009 - 10/11/2009 8.660254037844387 BullFlag
[M, H, H, H, M, H, H] 23/11/2010 - 21/12/2010 8.660254037844387 BearFlag
[R, R, H, M, R, H, H] 5/12/2011 - 3/1/2012 7.0710678118654755 DoubleBottom
[R, M, H, H, M, M, M] 30/3/2012 - 27/4/2012 8.660254037844387 BearFlag
[R, R, M, H, H, H, M] 22/8/2012 - 19/9/2012 8.660254037844387 Cup
[M, M, M, H, H, H, M] 18/12/2012 - 16/1/2013 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 17/1/2013 - 14/2/2013 8.660254037844387 BearFlag
[R, M, M, H, H, H, M] 15/2/2013 - 15/3/2013 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 16/4/2013 - 13/5/2013 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 30/1/2014 - 27/2/2014 8.660254037844387 BearFlag
