Tamanho da Janela:60
[W, W, M, C, C, C, R] 3/1/2000 - 28/3/2000 8.660254037844387 Cup
[R, R, M, C, C, H, R] 22/4/2004 - 19/7/2004 0.0 Cup
[R, R, M, H, H, H, M] 20/7/2004 - 12/10/2004 8.660254037844387 Cup
[R, W, M, H, C, H, R] 26/9/2005 - 19/12/2005 7.0710678118654755 Cup
[R, H, H, H, M, H, H] 4/12/2006 - 2/3/2007 7.0710678118654755 BearFlag
[R, W, R, W, W, H, C] 28/1/2009 - 23/4/2009 8.660254037844387 BullFlag
[R, R, H, M, R, M, H] 14/10/2009 - 8/1/2010 8.660254037844387 DoubleBottom
[R, R, H, C, H, C, H] 11/1/2010 - 7/4/2010 8.660254037844387 BearFlag
[R, M, H, C, H, H, M] 5/12/2011 - 1/3/2012 7.0710678118654755 BearFlag
[M, H, H, C, H, H, H] 19/11/2012 - 14/2/2013 8.660254037844387 BearFlag
[R, M, H, M, M, H, H] 14/5/2013 - 7/8/2013 7.0710678118654755 BearFlag
