Tamanho da Janela:60
[M, H, H, H, M, H, H] 23/6/2000 - 18/9/2000 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 12/2/2003 - 8/5/2003 8.660254037844387 BearFlag
[M, M, H, H, M, H, H] 20/7/2004 - 12/10/2004 7.0710678118654755 BearFlag
[M, H, H, H, H, H, M] 14/6/2006 - 7/9/2006 8.660254037844387 BearFlag
[W, R, C, H, R, H, C] 30/10/2008 - 27/1/2009 7.0710678118654755 DoubleBottom
[M, H, H, H, M, H, H] 14/10/2009 - 8/1/2010 8.660254037844387 BearFlag
[R, M, H, H, M, M, H] 11/1/2010 - 7/4/2010 7.0710678118654755 BearFlag
[M, H, H, C, H, H, H] 9/9/2011 - 2/12/2011 8.660254037844387 BearFlag
[R, M, M, H, H, H, M] 19/11/2012 - 14/2/2013 7.0710678118654755 BearFlag
[R, R, H, C, C, C, M] 14/5/2013 - 7/8/2013 8.660254037844387 Cup
[M, M, H, M, M, H, H] 8/8/2013 - 31/10/2013 8.660254037844387 BearFlag
[M, H, H, H, H, H, M] 1/11/2013 - 29/1/2014 8.660254037844387 BearFlag
