Tamanho da Janela:40
[W, W, R, W, R, H, C] 3/1/2000 - 29/2/2000 8.660254037844387 BullFlag
[R, R, M, H, H, M, R] 21/8/2000 - 16/10/2000 8.660254037844387 Cup
[R, R, M, H, H, H, M] 12/2/2001 - 9/4/2001 8.660254037844387 Cup
[R, R, M, H, H, H, M] 14/1/2003 - 12/3/2003 8.660254037844387 Cup
[R, M, H, M, M, H, H] 3/9/2003 - 28/10/2003 7.0710678118654755 BearFlag
[M, M, H, M, M, H, H] 26/12/2003 - 24/2/2004 8.660254037844387 BearFlag
[R, R, M, H, H, H, M] 25/2/2004 - 21/4/2004 8.660254037844387 Cup
[R, M, H, C, H, H, M] 6/4/2005 - 1/6/2005 7.0710678118654755 BearFlag
[R, R, M, H, H, M, R] 29/7/2005 - 23/9/2005 8.660254037844387 Cup
[R, R, M, H, H, H, M] 26/9/2005 - 18/11/2005 8.660254037844387 Cup
[R, M, H, M, M, M, H] 13/7/2006 - 7/9/2006 8.660254037844387 BearFlag
