Tamanho da Janela:20
[R, R, M, R, R, H, C] 23/6/2000 - 21/7/2000 8.660254037844387 DoubleBottom
[M, M, R, C, C, H, R] 7/6/2001 - 5/7/2001 8.660254037844387 Cup
[R, M, H, C, C, H, R] 5/10/2001 - 1/11/2001 7.0710678118654755 Cup
[W, R, H, H, M, H, H] 24/7/2002 - 20/8/2002 8.660254037844387 DoubleBottom
[R, R, H, C, C, C, R] 8/7/2003 - 4/8/2003 7.0710678118654755 Cup
[R, R, M, H, H, H, M] 26/11/2003 - 24/12/2003 8.660254037844387 Cup
[R, R, M, H, H, H, M] 13/10/2004 - 9/11/2004 8.660254037844387 Cup
[R, M, H, C, H, H, M] 8/3/2005 - 5/4/2005 7.0710678118654755 BearFlag
[R, M, H, H, M, M, M] 30/6/2005 - 28/7/2005 8.660254037844387 BearFlag
[R, M, H, C, C, H, R] 24/10/2005 - 18/11/2005 7.0710678118654755 Cup
[M, H, H, H, M, H, H] 8/9/2006 - 5/10/2006 8.660254037844387 BearFlag
[M, M, H, H, M, H, H] 4/12/2006 - 3/1/2007 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 30/5/2007 - 26/6/2007 8.660254037844387 BearFlag
[R, M, H, M, R, H, H] 23/8/2007 - 20/9/2007 8.660254037844387 DoubleBottom
[R, M, H, H, M, C, C] 30/10/2008 - 26/11/2008 8.660254037844387 BearFlag
[R, H, H, H, M, H, H] 26/3/2009 - 23/4/2009 7.0710678118654755 BearFlag
[R, M, M, H, H, M, M] 16/9/2009 - 13/10/2009 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 10/3/2010 - 7/4/2010 8.660254037844387 BearFlag
[R, M, H, M, M, M, H] 28/9/2010 - 25/10/2010 8.660254037844387 BearFlag
[M, M, H, C, H, H, M] 15/6/2011 - 13/7/2011 8.660254037844387 BearFlag
[R, M, H, H, M, M, M] 5/12/2011 - 3/1/2012 8.660254037844387 BearFlag
[M, M, M, H, H, C, H] 2/2/2012 - 1/3/2012 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 2/3/2012 - 29/3/2012 8.660254037844387 BearFlag
[R, M, M, H, H, M, M] 29/5/2012 - 25/6/2012 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 18/10/2012 - 16/11/2012 8.660254037844387 BearFlag
[R, M, M, M, M, H, H] 16/4/2013 - 13/5/2013 8.660254037844387 BearFlag
[M, M, M, M, H, H, H] 12/6/2013 - 10/7/2013 8.660254037844387 BearFlag
[R, M, H, H, M, M, M] 4/10/2013 - 31/10/2013 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 30/1/2014 - 27/2/2014 8.660254037844387 BearFlag
