Tamanho da Janela:20
[M, H, H, H, M, H, H] 14/11/2000 - 12/12/2000 8.660254037844387 BearFlag
[R, R, M, H, H, M, R] 13/12/2000 - 11/1/2001 8.660254037844387 Cup
[R, M, H, M, M, M, H] 13/3/2001 - 9/4/2001 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 31/8/2001 - 4/10/2001 8.660254037844387 BearFlag
[R, M, H, H, M, M, M] 2/11/2001 - 30/11/2001 8.660254037844387 BearFlag
[R, R, M, H, H, H, M] 21/8/2002 - 18/9/2002 8.660254037844387 Cup
[M, M, M, H, H, H, M] 9/5/2003 - 6/6/2003 8.660254037844387 BearFlag
[R, M, H, H, M, M, M] 20/7/2004 - 16/8/2004 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 7/2/2005 - 7/3/2005 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 1/5/2007 - 29/5/2007 8.660254037844387 BullFlag
[M, M, M, H, H, H, M] 14/4/2008 - 9/5/2008 8.660254037844387 BearFlag
[R, R, M, H, H, H, R] 26/3/2009 - 23/4/2009 7.0710678118654755 Cup
