Tamanho da Janela:20
[R, R, M, C, C, C, M] 1/3/2000 - 28/3/2000 7.0710678118654755 Cup
[R, M, H, H, H, C, H] 17/10/2000 - 13/11/2000 5.0 BearFlag
[R, R, M, H, H, M, R] 12/2/2001 - 12/3/2001 8.660254037844387 Cup
[R, M, M, H, H, H, M] 7/6/2001 - 5/7/2001 7.0710678118654755 BearFlag
[R, M, H, H, M, M, M] 3/8/2001 - 30/8/2001 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 2/1/2002 - 30/1/2002 8.660254037844387 BearFlag
[M, M, H, M, M, H, H] 31/1/2002 - 28/2/2002 8.660254037844387 BearFlag
[R, M, H, M, R, H, H] 28/5/2002 - 24/6/2002 8.660254037844387 DoubleBottom
[R, M, M, H, H, H, M] 27/1/2004 - 24/2/2004 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 7/2/2005 - 7/3/2005 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 6/4/2005 - 3/5/2005 8.660254037844387 BullFlag
[R, H, H, H, M, H, H] 3/11/2006 - 1/12/2006 7.0710678118654755 BearFlag
[R, M, M, H, H, H, M] 1/5/2007 - 29/5/2007 7.0710678118654755 BearFlag
[R, R, M, H, H, M, R] 21/9/2007 - 18/10/2007 8.660254037844387 Cup
[W, W, H, C, C, H, R] 16/11/2007 - 14/12/2007 8.660254037844387 Cup
[R, M, C, C, M, H, H] 26/2/2009 - 25/3/2009 8.660254037844387 BearFlag
[R, R, M, H, H, M, R] 22/5/2009 - 19/6/2009 8.660254037844387 Cup
[R, M, M, H, H, H, M] 11/1/2010 - 8/2/2010 7.0710678118654755 BearFlag
[R, M, H, H, R, H, C] 30/3/2012 - 27/4/2012 8.660254037844387 DoubleBottom
[R, M, H, H, M, M, M] 18/12/2012 - 16/1/2013 8.660254037844387 BearFlag
[R, M, H, H, M, M, H] 15/2/2013 - 15/3/2013 7.0710678118654755 BearFlag
[R, H, C, H, M, H, H] 16/4/2013 - 13/5/2013 8.660254037844387 BearFlag
[M, M, H, H, H, H, M] 4/10/2013 - 31/10/2013 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 2/12/2013 - 30/12/2013 8.660254037844387 BearFlag
[R, R, R, M, M, H, H] 23/7/2014 - 19/8/2014 8.660254037844387 BullFlag
