Tamanho da Janela:40
[M, R, R, H, C, H, R] 12/2/2001 - 9/4/2001 8.660254037844387 Cup
[M, R, R, H, C, H, R] 19/9/2002 - 13/11/2002 8.660254037844387 Cup
[R, R, M, H, H, H, M] 8/7/2003 - 2/9/2003 8.660254037844387 Cup
[R, M, M, C, H, C, H] 3/9/2003 - 28/10/2003 8.660254037844387 BearFlag
[R, M, H, M, R, H, H] 6/4/2005 - 1/6/2005 8.660254037844387 DoubleBottom
[M, R, R, R, R, M, H] 16/5/2006 - 12/7/2006 8.660254037844387 BullFlag
[R, M, H, C, H, H, R] 3/11/2006 - 3/1/2007 8.660254037844387 Cup
[R, R, M, H, H, H, R] 5/3/2007 - 30/4/2007 7.0710678118654755 Cup
[R, M, H, H, M, H, H] 11/11/2009 - 8/1/2010 5.0 BearFlag
[M, R, R, W, R, H, H] 26/10/2010 - 21/12/2010 8.660254037844387 BullFlag
[R, R, H, C, C, C, M] 5/12/2011 - 1/2/2012 8.660254037844387 Cup
[R, M, H, C, C, H, R] 29/5/2012 - 24/7/2012 7.0710678118654755 Cup
[M, H, H, H, M, H, H] 1/11/2013 - 30/12/2013 8.660254037844387 BearFlag
[R, M, H, H, M, M, H] 31/12/2013 - 27/2/2014 7.0710678118654755 BearFlag
[M, R, R, R, M, H, H] 24/6/2014 - 19/8/2014 8.660254037844387 BullFlag
