Tamanho da Janela:20
[M, R, R, H, C, H, R] 17/10/2000 - 13/11/2000 8.660254037844387 Cup
[M, H, H, H, M, H, H] 13/12/2000 - 11/1/2001 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 10/4/2001 - 8/5/2001 8.660254037844387 BearFlag
[M, M, H, H, H, H, M] 9/5/2001 - 6/6/2001 7.0710678118654755 BearFlag
[R, R, M, H, H, H, M] 31/8/2001 - 4/10/2001 8.660254037844387 Cup
[R, M, H, C, H, M, M] 5/10/2001 - 1/11/2001 8.660254037844387 BearFlag
[M, M, H, H, M, M, H] 1/4/2002 - 26/4/2002 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 17/10/2002 - 13/11/2002 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 13/12/2002 - 13/1/2003 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 29/10/2003 - 25/11/2003 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 26/12/2003 - 26/1/2004 8.660254037844387 BearFlag
[R, R, M, H, H, H, H] 20/7/2004 - 16/8/2004 7.0710678118654755 BearFlag
[R, R, M, H, H, H, M] 16/1/2008 - 13/2/2008 8.660254037844387 Cup
[M, M, H, H, M, H, H] 16/9/2009 - 13/10/2009 7.0710678118654755 BearFlag
[M, R, R, R, M, H, H] 26/10/2010 - 22/11/2010 8.660254037844387 BullFlag
[M, M, H, H, H, M, M] 23/11/2010 - 21/12/2010 8.660254037844387 BearFlag
[M, M, H, H, M, H, H] 21/3/2011 - 15/4/2011 7.0710678118654755 BearFlag
[M, R, R, R, R, M, H] 14/7/2011 - 10/8/2011 8.660254037844387 BullFlag
[M, M, M, M, H, H, H] 17/1/2013 - 14/2/2013 8.660254037844387 BearFlag
