Tamanho da Janela:20
[M, M, M, H, H, H, M] 13/3/2002 - 10/4/2002 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 10/11/2003 - 8/12/2003 8.660254037844387 BearFlag
[M, M, H, M, M, H, H] 20/1/2005 - 16/2/2005 8.660254037844387 BearFlag
[M, M, H, H, H, H, M] 6/10/2005 - 2/11/2005 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 3/11/2005 - 1/12/2005 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 13/4/2007 - 10/5/2007 8.660254037844387 BearFlag
[R, R, H, M, R, M, H] 27/2/2008 - 26/3/2008 8.660254037844387 DoubleBottom
[R, R, H, M, R, M, H] 4/6/2009 - 1/7/2009 8.660254037844387 DoubleBottom
[M, H, H, H, M, H, H] 2/7/2009 - 30/7/2009 8.660254037844387 BearFlag
[R, R, M, H, H, M, R] 28/8/2009 - 25/9/2009 8.660254037844387 Cup
[R, R, M, H, H, H, M] 26/10/2009 - 20/11/2009 8.660254037844387 Cup
[M, M, H, M, M, H, H] 22/2/2010 - 19/3/2010 8.660254037844387 BearFlag
[R, M, H, H, M, M, M] 15/7/2010 - 11/8/2010 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 15/12/2011 - 13/1/2012 8.660254037844387 BearFlag
[M, R, R, R, R, M, H] 1/11/2012 - 29/11/2012 8.660254037844387 BullFlag
[M, M, M, H, H, H, M] 16/10/2013 - 12/11/2013 8.660254037844387 BearFlag
