Tamanho da Janela:20
[M, R, R, W, R, M, C] 1/2/2000 - 29/2/2000 8.660254037844387 BullFlag
[R, M, H, M, M, H, H] 12/1/2001 - 9/2/2001 7.0710678118654755 BearFlag
[R, R, M, H, H, H, R] 12/2/2001 - 12/3/2001 7.0710678118654755 Cup
[R, R, M, R, R, M, H] 13/3/2001 - 9/4/2001 8.660254037844387 BullFlag
[R, R, M, H, H, H, H] 6/7/2001 - 2/8/2001 7.0710678118654755 BearFlag
[R, R, M, H, H, H, M] 2/1/2002 - 30/1/2002 8.660254037844387 Cup
[R, M, M, H, M, H, M] 28/5/2002 - 24/6/2002 8.660254037844387 BearFlag
[M, M, H, M, M, H, H] 20/5/2004 - 18/6/2004 8.660254037844387 BearFlag
[R, M, H, H, M, M, H] 29/7/2005 - 25/8/2005 7.0710678118654755 BearFlag
[R, M, H, H, M, M, M] 13/7/2006 - 9/8/2006 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 23/8/2007 - 20/9/2007 8.660254037844387 BearFlag
[R, R, M, H, H, H, M] 16/11/2007 - 14/12/2007 8.660254037844387 Cup
[R, M, H, M, M, H, H] 16/1/2008 - 13/2/2008 7.0710678118654755 BearFlag
[R, R, M, H, H, M, R] 4/9/2008 - 1/10/2008 8.660254037844387 Cup
[M, H, H, H, M, H, H] 21/1/2011 - 17/2/2011 8.660254037844387 BearFlag
[R, M, H, H, M, M, H] 5/12/2011 - 3/1/2012 7.0710678118654755 BearFlag
[R, M, M, M, M, H, H] 30/3/2012 - 27/4/2012 8.660254037844387 BearFlag
[M, M, H, C, H, H, M] 16/4/2013 - 13/5/2013 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 11/7/2013 - 7/8/2013 8.660254037844387 BearFlag
[R, M, M, H, H, H, R] 4/10/2013 - 31/10/2013 8.660254037844387 Cup
[M, M, M, H, H, H, M] 27/5/2014 - 23/6/2014 8.660254037844387 BearFlag
