Tamanho da Janela:40
[R, R, M, H, H, C, H] 17/10/2000 - 12/12/2000 8.660254037844387 BearFlag
[M, R, R, W, R, H, H] 7/6/2001 - 2/8/2001 8.660254037844387 BullFlag
[M, M, H, H, H, H, M] 1/4/2002 - 24/5/2002 7.0710678118654755 BearFlag
[R, R, M, H, H, H, M] 8/7/2003 - 2/9/2003 8.660254037844387 Cup
[M, R, R, R, M, H, H] 22/4/2004 - 18/6/2004 8.660254037844387 BullFlag
[M, H, H, H, M, H, H] 23/8/2007 - 18/10/2007 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 26/10/2010 - 21/12/2010 8.660254037844387 BearFlag
[W, R, H, H, R, M, H] 29/5/2012 - 24/7/2012 8.660254037844387 DoubleBottom
[R, M, M, R, R, H, C] 18/3/2013 - 13/5/2013 7.0710678118654755 BullFlag
[R, M, H, M, R, H, H] 31/12/2013 - 27/2/2014 8.660254037844387 DoubleBottom
[R, R, M, H, H, M, R] 28/2/2014 - 25/4/2014 8.660254037844387 Cup
