Tamanho da Janela:20
[M, R, R, R, M, H, H] 19/9/2000 - 16/10/2000 8.660254037844387 BullFlag
[R, M, H, C, H, H, M] 17/10/2000 - 13/11/2000 7.0710678118654755 BearFlag
[R, R, M, H, H, M, R] 14/11/2000 - 12/12/2000 8.660254037844387 Cup
[M, M, M, H, H, H, H] 13/12/2000 - 11/1/2001 7.0710678118654755 BearFlag
[M, H, H, H, M, H, H] 10/4/2001 - 8/5/2001 8.660254037844387 BearFlag
[M, M, H, H, H, H, H] 3/8/2001 - 30/8/2001 5.0 BearFlag
[M, M, M, H, H, H, M] 2/11/2001 - 30/11/2001 8.660254037844387 BearFlag
[M, M, M, M, H, H, H] 31/1/2002 - 28/2/2002 8.660254037844387 BearFlag
[R, M, M, H, M, H, M] 13/12/2002 - 13/1/2003 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 8/7/2003 - 4/8/2003 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 26/11/2003 - 24/12/2003 8.660254037844387 BearFlag
[M, M, H, H, H, M, M] 26/12/2003 - 26/1/2004 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 13/10/2004 - 9/11/2004 8.660254037844387 BearFlag
[R, M, H, C, H, H, M] 16/11/2007 - 14/12/2007 7.0710678118654755 BearFlag
[M, H, H, H, M, H, H] 10/3/2010 - 7/4/2010 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 23/11/2010 - 21/12/2010 8.660254037844387 BearFlag
[R, M, H, H, M, M, M] 5/12/2011 - 3/1/2012 8.660254037844387 BearFlag
[M, M, H, H, M, H, H] 20/9/2012 - 17/10/2012 7.0710678118654755 BearFlag
[M, M, H, H, M, M, H] 18/12/2012 - 16/1/2013 8.660254037844387 BearFlag
[R, M, M, M, M, H, H] 15/2/2013 - 15/3/2013 8.660254037844387 BearFlag
[M, M, H, H, H, H, M] 4/10/2013 - 31/10/2013 7.0710678118654755 BearFlag
