Tamanho da Janela:20
[R, M, H, C, H, H, R] 14/11/2000 - 12/12/2000 8.660254037844387 Cup
[R, R, H, M, R, M, H] 13/3/2001 - 9/4/2001 8.660254037844387 DoubleBottom
[R, M, H, H, H, M, M] 7/6/2001 - 5/7/2001 7.0710678118654755 BearFlag
[R, M, H, M, M, M, H] 1/4/2002 - 26/4/2002 8.660254037844387 BearFlag
[M, H, H, H, H, H, M] 8/7/2003 - 4/8/2003 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 29/10/2003 - 25/11/2003 8.660254037844387 BullFlag
[M, M, M, H, H, H, H] 26/11/2003 - 24/12/2003 7.0710678118654755 BearFlag
[M, H, H, H, H, H, M] 26/12/2003 - 26/1/2004 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 15/9/2004 - 12/10/2004 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 20/1/2006 - 16/2/2006 8.660254037844387 BearFlag
[R, M, H, H, H, M, M] 16/11/2007 - 14/12/2007 7.0710678118654755 BearFlag
[M, R, R, R, M, H, H] 6/8/2008 - 3/9/2008 8.660254037844387 BullFlag
[M, M, M, M, H, H, H] 9/2/2010 - 9/3/2010 8.660254037844387 BearFlag
[R, M, M, H, H, H, M] 2/3/2012 - 29/3/2012 7.0710678118654755 BearFlag
[R, M, H, H, M, M, M] 18/12/2012 - 16/1/2013 8.660254037844387 BearFlag
[R, R, M, H, H, H, M] 4/10/2013 - 31/10/2013 8.660254037844387 Cup
[M, M, M, H, H, H, M] 2/12/2013 - 30/12/2013 8.660254037844387 BearFlag
[R, M, H, H, M, M, M] 30/1/2014 - 27/2/2014 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 13/11/2014 - 11/12/2014 8.660254037844387 BearFlag
