Tamanho da Janela:40
[R, R, M, H, H, M, R] 21/8/2000 - 16/10/2000 8.660254037844387 Cup
[R, R, M, H, H, H, R] 10/4/2001 - 6/6/2001 7.0710678118654755 Cup
[M, H, H, H, M, H, H] 9/5/2003 - 7/7/2003 8.660254037844387 BearFlag
[R, M, H, H, M, H, H] 29/10/2003 - 24/12/2003 5.0 BearFlag
[R, R, M, H, H, H, M] 22/4/2004 - 18/6/2004 8.660254037844387 Cup
[R, M, M, H, H, H, M] 6/4/2005 - 1/6/2005 7.0710678118654755 BearFlag
[R, M, H, H, M, M, M] 26/9/2005 - 18/11/2005 8.660254037844387 BearFlag
[W, R, H, R, W, H, C] 28/1/2009 - 25/3/2009 7.0710678118654755 DoubleBottom
[R, M, H, M, R, M, C] 22/5/2009 - 20/7/2009 8.660254037844387 DoubleBottom
[R, R, M, C, H, H, M] 5/12/2011 - 1/2/2012 7.0710678118654755 Cup
[R, M, M, H, H, H, M] 18/3/2013 - 13/5/2013 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 1/11/2013 - 30/12/2013 8.660254037844387 BearFlag
