Tamanho da Janela:40
[W, R, C, M, R, M, H] 23/6/2000 - 18/8/2000 8.660254037844387 DoubleBottom
[R, M, H, C, H, H, M] 13/12/2000 - 9/2/2001 7.0710678118654755 BearFlag
[R, M, H, H, M, M, M] 26/9/2005 - 18/11/2005 8.660254037844387 BearFlag
[M, H, H, H, H, H, M] 20/1/2006 - 17/3/2006 8.660254037844387 BearFlag
[R, M, H, H, M, M, M] 13/7/2006 - 7/9/2006 8.660254037844387 BearFlag
[M, M, H, H, H, M, M] 5/3/2007 - 30/4/2007 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 17/12/2007 - 13/2/2008 8.660254037844387 BullFlag
[R, R, M, H, H, M, R] 6/8/2008 - 1/10/2008 8.660254037844387 Cup
[R, M, H, H, M, M, H] 16/9/2009 - 10/11/2009 7.0710678118654755 BearFlag
[M, M, H, M, M, H, H] 11/1/2010 - 9/3/2010 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 26/10/2010 - 21/12/2010 8.660254037844387 BearFlag
[M, M, H, H, H, H, M] 5/12/2011 - 1/2/2012 7.0710678118654755 BearFlag
[M, M, H, M, M, H, H] 1/11/2013 - 30/12/2013 8.660254037844387 BearFlag
