Tamanho da Janela:20
[R, R, M, H, H, H, R] 19/9/2000 - 16/10/2000 7.0710678118654755 Cup
[M, R, R, R, M, H, H] 12/1/2001 - 9/2/2001 8.660254037844387 BullFlag
[R, R, H, M, R, M, H] 13/3/2001 - 9/4/2001 8.660254037844387 DoubleBottom
[M, H, H, H, M, H, H] 14/11/2002 - 12/12/2002 8.660254037844387 BearFlag
[M, M, H, M, M, H, H] 9/5/2003 - 6/6/2003 8.660254037844387 BearFlag
[R, M, H, H, M, M, M] 27/1/2004 - 24/2/2004 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 21/6/2004 - 19/7/2004 8.660254037844387 BearFlag
[R, M, H, H, M, M, H] 20/12/2005 - 19/1/2006 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 5/3/2007 - 30/3/2007 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 23/8/2007 - 20/9/2007 8.660254037844387 BearFlag
[M, M, H, C, H, H, M] 16/11/2007 - 14/12/2007 8.660254037844387 BearFlag
[R, H, H, C, H, H, M] 16/1/2008 - 13/2/2008 8.660254037844387 BearFlag
[R, M, H, H, H, M, M] 14/3/2008 - 11/4/2008 7.0710678118654755 BearFlag
[M, R, R, R, M, H, C] 22/6/2009 - 20/7/2009 7.0710678118654755 BullFlag
[M, M, H, H, M, H, H] 30/3/2012 - 27/4/2012 7.0710678118654755 BearFlag
[M, M, M, H, H, H, H] 15/2/2013 - 15/3/2013 7.0710678118654755 BearFlag
[M, M, H, H, H, M, M] 28/3/2014 - 25/4/2014 8.660254037844387 BearFlag
[R, R, M, R, R, M, H] 18/9/2014 - 15/10/2014 8.660254037844387 BullFlag
[R, M, M, H, H, H, M] 16/10/2014 - 12/11/2014 7.0710678118654755 BearFlag
