Tamanho da Janela:20
[R, R, M, H, H, H, M] 14/11/2000 - 12/12/2000 8.660254037844387 Cup
[R, M, H, C, H, H, M] 29/4/2002 - 24/5/2002 7.0710678118654755 BearFlag
[M, M, H, M, M, H, H] 13/10/2004 - 9/11/2004 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 30/6/2005 - 28/7/2005 8.660254037844387 BearFlag
[M, M, M, M, H, H, H] 17/2/2006 - 17/3/2006 8.660254037844387 BearFlag
[R, R, M, H, H, H, M] 6/10/2006 - 2/11/2006 8.660254037844387 Cup
[M, M, M, H, H, H, M] 1/5/2007 - 29/5/2007 8.660254037844387 BearFlag
[M, M, H, H, H, H, M] 23/8/2007 - 20/9/2007 7.0710678118654755 BearFlag
[R, M, H, H, M, M, M] 10/12/2009 - 8/1/2010 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 28/9/2010 - 25/10/2010 8.660254037844387 BearFlag
[M, R, R, R, R, M, H] 4/11/2011 - 2/12/2011 8.660254037844387 BullFlag
[M, M, M, H, H, H, M] 18/12/2012 - 16/1/2013 8.660254037844387 BearFlag
[R, M, H, H, M, M, M] 30/1/2014 - 27/2/2014 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 16/10/2014 - 12/11/2014 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 13/11/2014 - 11/12/2014 8.660254037844387 BearFlag
