Tamanho da Janela:40
[R, R, M, H, H, H, M] 7/6/2001 - 2/8/2001 8.660254037844387 Cup
[M, R, R, R, R, H, H] 3/8/2001 - 4/10/2001 7.0710678118654755 BullFlag
[M, H, H, H, H, H, M] 31/1/2002 - 28/3/2002 8.660254037844387 BearFlag
[R, M, H, M, M, M, H] 8/7/2003 - 2/9/2003 8.660254037844387 BearFlag
[M, M, H, H, H, H, M] 22/4/2004 - 18/6/2004 7.0710678118654755 BearFlag
[M, R, R, R, M, H, H] 2/6/2005 - 28/7/2005 8.660254037844387 BullFlag
[M, M, M, H, H, H, M] 26/9/2005 - 18/11/2005 8.660254037844387 BearFlag
[R, M, H, C, H, H, M] 17/12/2007 - 13/2/2008 7.0710678118654755 BearFlag
[R, M, M, H, H, M, M] 14/2/2008 - 11/4/2008 8.660254037844387 BearFlag
[R, M, H, H, M, M, H] 10/6/2008 - 5/8/2008 7.0710678118654755 BearFlag
[M, R, R, R, M, H, H] 21/7/2009 - 15/9/2009 8.660254037844387 BullFlag
[R, R, M, R, R, M, H] 11/1/2010 - 9/3/2010 8.660254037844387 BullFlag
[M, R, R, R, M, H, C] 5/12/2011 - 1/2/2012 7.0710678118654755 BullFlag
[R, M, M, H, H, M, M] 20/9/2012 - 16/11/2012 8.660254037844387 BearFlag
[M, M, H, H, M, H, H] 19/11/2012 - 16/1/2013 7.0710678118654755 BearFlag
[M, H, H, C, H, H, H] 17/1/2013 - 15/3/2013 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 6/9/2013 - 31/10/2013 8.660254037844387 BullFlag
