Tamanho da Janela:20
[R, R, M, H, H, H, R] 1/3/2000 - 28/3/2000 7.0710678118654755 Cup
[M, M, M, H, H, H, M] 14/11/2000 - 12/12/2000 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 12/2/2001 - 12/3/2001 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 3/8/2001 - 30/8/2001 8.660254037844387 BearFlag
[R, R, M, H, H, H, M] 1/4/2002 - 26/4/2002 8.660254037844387 Cup
[R, M, M, H, H, M, M] 17/10/2002 - 13/11/2002 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 30/6/2005 - 28/7/2005 8.660254037844387 BearFlag
[R, R, M, H, H, H, M] 28/11/2008 - 26/12/2008 8.660254037844387 Cup
[R, M, H, M, M, M, H] 26/3/2009 - 23/4/2009 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 9/2/2010 - 9/3/2010 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 15/6/2011 - 13/7/2011 8.660254037844387 BearFlag
[R, M, H, H, M, M, M] 29/5/2012 - 25/6/2012 8.660254037844387 BearFlag
