Tamanho da Janela:40
[R, M, H, M, R, H, C] 23/6/2000 - 18/8/2000 7.0710678118654755 DoubleBottom
[M, R, R, H, C, H, R] 19/9/2002 - 13/11/2002 8.660254037844387 Cup
[R, M, H, H, M, M, M] 8/7/2003 - 2/9/2003 8.660254037844387 BearFlag
[M, H, H, H, H, H, M] 29/10/2003 - 24/12/2003 8.660254037844387 BearFlag
[R, R, H, M, M, H, H] 22/4/2004 - 18/6/2004 8.660254037844387 DoubleBottom
[R, M, M, C, H, H, M] 26/9/2005 - 18/11/2005 8.660254037844387 Cup
[M, R, R, R, M, C, C] 16/5/2006 - 12/7/2006 8.660254037844387 BullFlag
[R, M, H, C, C, H, R] 26/3/2009 - 21/5/2009 7.0710678118654755 Cup
[R, R, H, M, R, M, H] 11/1/2010 - 9/3/2010 8.660254037844387 DoubleBottom
[M, R, R, H, C, H, R] 10/3/2010 - 5/5/2010 8.660254037844387 Cup
[M, M, H, M, M, H, H] 22/12/2010 - 17/2/2011 8.660254037844387 BearFlag
[R, R, M, H, H, M, R] 18/2/2011 - 15/4/2011 8.660254037844387 Cup
[R, R, H, M, M, H, H] 5/12/2011 - 1/2/2012 8.660254037844387 DoubleBottom
